"GEO_ID","NAME","B19001I_001E","B19001I_001EA","B19001I_001M","B19001I_001MA","B19001I_002E","B19001I_002M","B19001I_002MA","B19001I_002EA","B19001I_003E","B19001I_003EA","B19001I_003M","B19001I_003MA","B19001I_004E","B19001I_004EA","B19001I_004M","B19001I_004MA","B19001I_005E","B19001I_005M","B19001I_005MA","B19001I_005EA","B19001I_006E","B19001I_006M","B19001I_006MA","B19001I_006EA","B19001I_007E","B19001I_007EA","B19001I_007M","B19001I_007MA","B19001I_008E","B19001I_008M","B19001I_008MA","B19001I_008EA","B19001I_009E","B19001I_009EA","B19001I_009M","B19001I_009MA","B19001I_010E","B19001I_010EA","B19001I_010M","B19001I_010MA","B19001I_011E","B19001I_011M","B19001I_011MA","B19001I_011EA","B19001I_012E","B19001I_012M","B19001I_012MA","B19001I_012EA","B19001I_013E","B19001I_013M","B19001I_013MA","B19001I_013EA","B19001I_014E","B19001I_014EA","B19001I_014M","B19001I_014MA","B19001I_015E","B19001I_015M","B19001I_015MA","B19001I_015EA","B19001I_016E","B19001I_016M","B19001I_016MA","B19001I_016EA","B19001I_017E","B19001I_017EA","B19001I_017M","B19001I_017MA",
"1400000US04019001304","Census Tract 13.04, Pima County, Arizona","939","null","169","null","183","101","null","null","266","null","142","null","114","null","96","null","61","83","null","null","102","75","null","null","25","null","32","null","13","21","null","null","24","null","27","null","31","null","34","null","23","39","null","null","55","61","null","null","25","36","null","null","0","null","13","null","0","13","null","null","0","13","null","null","17","null","30","null",
"1400000US04019001400","Census Tract 14, Pima County, Arizona","544","null","147","null","116","96","null","null","50","null","52","null","78","null","68","null","0","18","null","null","77","60","null","null","21","null","33","null","18","21","null","null","11","null","17","null","52","null","58","null","21","34","null","null","16","21","null","null","19","29","null","null","38","null","59","null","27","41","null","null","0","18","null","null","0","null","18","null",
"1400000US04019001500","Census Tract 15, Pima County, Arizona","322","null","140","null","82","83","null","null","0","null","13","null","0","null","13","null","66","69","null","null","0","13","null","null","17","null","27","null","46","72","null","null","17","null","30","null","0","null","13","null","14","25","null","null","12","22","null","null","53","67","null","null","0","null","13","null","0","13","null","null","15","24","null","null","0","null","13","null",
"1400000US04019001600","Census Tract 16, Pima County, Arizona","260","null","91","null","43","36","null","null","18","null","20","null","7","null","11","null","6","9","null","null","0","13","null","null","36","null","52","null","0","13","null","null","7","null","11","null","5","null","8","null","29","27","null","null","30","48","null","null","48","43","null","null","17","null","19","null","0","13","null","null","0","13","null","null","14","null","19","null",
"1400000US04019001700","Census Tract 17, Pima County, Arizona","186","null","83","null","9","14","null","null","0","null","13","null","0","null","13","null","11","18","null","null","51","48","null","null","8","null","14","null","15","21","null","null","16","null","20","null","16","null","25","null","17","29","null","null","0","13","null","null","12","19","null","null","6","null","11","null","13","21","null","null","12","18","null","null","0","null","13","null",
"1400000US04019001801","Census Tract 18.01, Pima County, Arizona","427","null","144","null","0","18","null","null","37","null","59","null","10","null","16","null","72","76","null","null","109","100","null","null","14","null","23","null","0","18","null","null","48","null","61","null","0","null","18","null","57","74","null","null","0","18","null","null","11","18","null","null","69","null","58","null","0","18","null","null","0","18","null","null","0","null","18","null",
"1400000US04019001802","Census Tract 18.02, Pima County, Arizona","269","null","140","null","8","13","null","null","9","null","15","null","0","null","13","null","56","60","null","null","19","21","null","null","51","null","82","null","25","40","null","null","40","null","64","null","0","null","13","null","0","13","null","null","37","60","null","null","9","14","null","null","0","null","13","null","0","13","null","null","15","25","null","null","0","null","13","null",
"1400000US04019001900","Census Tract 19, Pima County, Arizona","218","null","91","null","8","13","null","null","47","null","45","null","13","null","22","null","0","13","null","null","7","11","null","null","0","null","13","null","23","25","null","null","10","null","18","null","44","null","37","null","45","55","null","null","11","16","null","null","0","13","null","null","0","null","13","null","0","13","null","null","10","17","null","null","0","null","13","null",
"1400000US04019002000","Census Tract 20, Pima County, Arizona","1376","null","191","null","93","84","null","null","143","null","121","null","109","null","103","null","68","93","null","null","63","64","null","null","182","null","136","null","174","144","null","null","66","null","60","null","89","null","88","null","102","87","null","null","205","131","null","null","37","35","null","null","0","null","18","null","15","26","null","null","30","48","null","null","0","null","18","null",
"1400000US04019002100","Census Tract 21, Pima County, Arizona","1286","null","121","null","151","76","null","null","166","null","76","null","157","null","80","null","100","55","null","null","114","56","null","null","125","null","73","null","97","64","null","null","74","null","59","null","46","null","49","null","153","78","null","null","40","37","null","null","28","35","null","null","10","null","17","null","25","39","null","null","0","18","null","null","0","null","18","null",
"1400000US04019002201","Census Tract 22.01, Pima County, Arizona","810","null","120","null","37","47","null","null","105","null","84","null","104","null","91","null","88","61","null","null","37","34","null","null","46","null","59","null","112","58","null","null","24","null","26","null","90","null","99","null","57","51","null","null","25","35","null","null","53","46","null","null","0","null","13","null","12","19","null","null","20","30","null","null","0","null","13","null",
"1400000US04019002202","Census Tract 22.02, Pima County, Arizona","605","null","100","null","169","104","null","null","52","null","52","null","41","null","44","null","19","35","null","null","58","66","null","null","24","null","30","null","16","24","null","null","13","null","20","null","67","null","45","null","50","68","null","null","85","46","null","null","0","13","null","null","6","null","14","null","0","13","null","null","5","11","null","null","0","null","13","null",
"1400000US04019002300","Census Tract 23, Pima County, Arizona","1449","null","154","null","171","67","null","null","173","null","88","null","184","null","84","null","188","99","null","null","78","58","null","null","115","null","81","null","142","86","null","null","63","null","60","null","51","null","48","null","188","68","null","null","41","41","null","null","47","36","null","null","0","null","18","null","0","18","null","null","8","13","null","null","0","null","18","null",
"1400000US04019002400","Census Tract 24, Pima County, Arizona","1534","null","142","null","193","85","null","null","285","null","98","null","100","null","64","null","223","105","null","null","178","99","null","null","124","null","82","null","64","53","null","null","72","null","46","null","81","null","49","null","71","53","null","null","40","35","null","null","71","74","null","null","7","null","12","null","25","33","null","null","0","18","null","null","0","null","18","null",
"1400000US04019002501","Census Tract 25.01, Pima County, Arizona","1244","null","134","null","42","32","null","null","114","null","65","null","232","null","117","null","101","67","null","null","95","45","null","null","68","null","48","null","173","91","null","null","103","null","70","null","89","null","68","null","20","17","null","null","77","37","null","null","80","62","null","null","25","null","23","null","25","40","null","null","0","18","null","null","0","null","18","null",
