"GEO_ID","NAME","B19001I_001E","B19001I_001M","B19001I_001MA","B19001I_001EA","B19001I_002E","B19001I_002M","B19001I_002MA","B19001I_002EA","B19001I_003E","B19001I_003EA","B19001I_003M","B19001I_003MA","B19001I_004E","B19001I_004M","B19001I_004MA","B19001I_004EA","B19001I_005E","B19001I_005EA","B19001I_005M","B19001I_005MA","B19001I_006E","B19001I_006EA","B19001I_006M","B19001I_006MA","B19001I_007E","B19001I_007M","B19001I_007MA","B19001I_007EA","B19001I_008E","B19001I_008M","B19001I_008MA","B19001I_008EA","B19001I_009E","B19001I_009EA","B19001I_009M","B19001I_009MA","B19001I_010E","B19001I_010EA","B19001I_010M","B19001I_010MA","B19001I_011E","B19001I_011EA","B19001I_011M","B19001I_011MA","B19001I_012E","B19001I_012M","B19001I_012MA","B19001I_012EA","B19001I_013E","B19001I_013EA","B19001I_013M","B19001I_013MA","B19001I_014E","B19001I_014M","B19001I_014MA","B19001I_014EA","B19001I_015E","B19001I_015M","B19001I_015MA","B19001I_015EA","B19001I_016E","B19001I_016EA","B19001I_016M","B19001I_016MA","B19001I_017E","B19001I_017M","B19001I_017MA","B19001I_017EA",
"1400000US04013104402","Census Tract 1044.02, Maricopa County, Arizona","159","105","null","null","87","84","null","null","0","null","132","null","0","132","null","null","0","null","132","null","61","null","55","null","0","132","null","null","11","17","null","null","0","null","132","null","0","null","132","null","0","null","132","null","0","132","null","null","0","null","132","null","0","132","null","null","0","132","null","null","0","null","132","null","0","132","null","null",
"1400000US04013104501","Census Tract 1045.01, Maricopa County, Arizona","634","126","null","null","61","54","null","null","42","null","47","null","56","53","null","null","83","null","63","null","71","null","59","null","91","63","null","null","9","15","null","null","51","null","47","null","25","null","28","null","86","null","54","null","9","15","null","null","50","null","42","null","0","132","null","null","0","132","null","null","0","null","132","null","0","132","null","null",
"1400000US04013104502","Census Tract 1045.02, Maricopa County, Arizona","822","129","null","null","65","61","null","null","27","null","34","null","79","61","null","null","134","null","79","null","63","null","49","null","152","100","null","null","58","47","null","null","42","null","41","null","12","null","21","null","87","null","61","null","55","36","null","null","38","null","56","null","10","16","null","null","0","132","null","null","0","null","132","null","0","132","null","null",
"1400000US04013104600","Census Tract 1046, Maricopa County, Arizona","384","124","null","null","29","47","null","null","13","null","20","null","50","56","null","null","45","null","59","null","89","null","65","null","30","49","null","null","0","132","null","null","11","null","18","null","0","null","132","null","27","null","44","null","52","53","null","null","19","null","30","null","9","13","null","null","0","132","null","null","10","null","16","null","0","132","null","null",
"1400000US04013104701","Census Tract 1047.01, Maricopa County, Arizona","332","120","null","null","0","132","null","null","20","null","28","null","0","132","null","null","53","null","64","null","0","null","132","null","75","84","null","null","33","53","null","null","95","null","85","null","9","null","16","null","0","null","132","null","47","57","null","null","0","null","132","null","0","132","null","null","0","132","null","null","0","null","132","null","0","132","null","null",
"1400000US04013104702","Census Tract 1047.02, Maricopa County, Arizona","609","137","null","null","34","55","null","null","96","null","96","null","66","76","null","null","74","null","79","null","143","null","98","null","0","132","null","null","32","52","null","null","47","null","45","null","50","null","69","null","0","null","132","null","34","42","null","null","0","null","132","null","0","132","null","null","33","44","null","null","0","null","132","null","0","132","null","null",
"1400000US04013104801","Census Tract 1048.01, Maricopa County, Arizona","103","66","null","null","0","132","null","null","28","null","41","null","23","32","null","null","0","null","132","null","0","null","132","null","0","132","null","null","0","132","null","null","8","null","13","null","0","null","132","null","32","null","48","null","0","132","null","null","12","null","20","null","0","132","null","null","0","132","null","null","0","null","132","null","0","132","null","null",
"1400000US04013104802","Census Tract 1048.02, Maricopa County, Arizona","163","73","null","null","12","18","null","null","16","null","26","null","0","132","null","null","0","null","132","null","20","null","40","null","16","26","null","null","0","132","null","null","0","null","132","null","0","null","132","null","22","null","32","null","0","132","null","null","32","null","49","null","0","132","null","null","0","132","null","null","45","null","41","null","0","132","null","null",
"1400000US04013104900","Census Tract 1049, Maricopa County, Arizona","92","40","null","null","0","132","null","null","11","null","18","null","12","19","null","null","0","null","132","null","0","null","132","null","13","22","null","null","9","15","null","null","0","null","132","null","0","null","132","null","0","null","132","null","0","132","null","null","0","null","132","null","0","132","null","null","28","22","null","null","9","null","15","null","10","18","null","null",
"1400000US04013105002","Census Tract 1050.02, Maricopa County, Arizona","0","132","null","null","0","132","null","null","0","null","132","null","0","132","null","null","0","null","132","null","0","null","132","null","0","132","null","null","0","132","null","null","0","null","132","null","0","null","132","null","0","null","132","null","0","132","null","null","0","null","132","null","0","132","null","null","0","132","null","null","0","null","132","null","0","132","null","null",
"1400000US04013105003","Census Tract 1050.03, Maricopa County, Arizona","50","42","null","null","0","132","null","null","0","null","132","null","0","132","null","null","0","null","132","null","0","null","132","null","0","132","null","null","0","132","null","null","0","null","132","null","0","null","132","null","0","null","132","null","0","132","null","null","0","null","132","null","0","132","null","null","0","132","null","null","14","null","23","null","36","36","null","null",
"1400000US04013105004","Census Tract 1050.04, Maricopa County, Arizona","12","22","null","null","0","132","null","null","0","null","132","null","0","132","null","null","0","null","132","null","0","null","132","null","0","132","null","null","0","132","null","null","0","null","132","null","0","null","132","null","0","null","132","null","0","132","null","null","0","null","132","null","0","132","null","null","0","132","null","null","12","null","22","null","0","132","null","null",
"1400000US04013105101","Census Tract 1051.01, Maricopa County, Arizona","43","53","null","null","0","132","null","null","0","null","132","null","0","132","null","null","0","null","132","null","0","null","132","null","0","132","null","null","0","132","null","null","0","null","132","null","0","null","132","null","0","null","132","null","0","132","null","null","11","null","17","null","0","132","null","null","32","51","null","null","0","null","132","null","0","132","null","null",
"1400000US04013105102","Census Tract 1051.02, Maricopa County, Arizona","181","106","null","null","0","132","null","null","0","null","132","null","20","31","null","null","0","null","132","null","0","null","132","null","0","132","null","null","0","132","null","null","29","null","32","null","0","null","132","null","47","null","67","null","17","28","null","null","13","null","22","null","0","132","null","null","19","30","null","null","36","null","44","null","0","132","null","null",
"1400000US04013105103","Census Tract 1051.03, Maricopa County, Arizona","25","27","null","null","0","132","null","null","0","null","132","null","0","132","null","null","0","null","132","null","0","null","132","null","0","132","null","null","0","132","null","null","0","null","132","null","0","null","132","null","0","null","132","null","0","132","null","null","0","null","132","null","0","132","null","null","0","132","null","null","12","null","20","null","13","20","null","null",
"1400000US04013105200","Census Tract 1052, Maricopa County, Arizona","584","173","null","null","55","72","null","null","22","null","42","null","0","132","null","null","42","null","64","null","84","null","69","null","42","69","null","null","57","75","null","null","82","null","87","null","41","null","69","null","35","null","43","null","17","29","null","null","40","null","56","null","14","22","null","null","19","40","null","null","15","null","23","null","19","33","null","null",
"1400000US04013105300","Census Tract 1053, Maricopa County, Arizona","381","137","null","null","66","84","null","null","15","null","24","null","54","62","null","null","51","null","62","null","16","null","26","null","0","132","null","null","56","66","null","null","0","null","132","null","0","null","132","null","15","null","27","null","30","38","null","null","38","null","40","null","31","36","null","null","0","132","null","null","9","null","15","null","0","132","null","null",
"1400000US04013105400","Census Tract 1054, Maricopa County, Arizona","173","74","null","null","0","132","null","null","0","null","132","null","0","132","null","null","38","null","48","null","0","null","132","null","0","132","null","null","0","132","null","null","0","null","132","null","0","null","132","null","11","null","18","null","20","24","null","null","59","null","44","null","0","132","null","null","9","17","null","null","9","null","14","null","27","31","null","null",
"1400000US04013105501","Census Tract 1055.01, Maricopa County, Arizona","396","114","null","null","97","82","null","null","0","null","132","null","18","28","null","null","34","null","43","null","37","null","35","null","18","30","null","null","41","48","null","null","8","null","13","null","60","null","77","null","46","null","61","null","37","56","null","null","0","null","132","null","0","132","null","null","0","132","null","null","0","null","132","null","0","132","null","null",
"1400000US04013105502","Census Tract 1055.02, Maricopa County, Arizona","248","101","null","null","0","132","null","null","31","null","49","null","85","68","null","null","15","null","25","null","79","null","57","null","0","132","null","null","0","132","null","null","0","null","132","null","14","null","24","null","24","null","30","null","0","132","null","null","0","null","132","null","0","132","null","null","0","132","null","null","0","null","132","null","0","132","null","null",
"1400000US04013105503","Census Tract 1055.03, Maricopa County, Arizona","320","143","null","null","49","65","null","null","0","null","132","null","26","33","null","null","36","null","58","null","38","null","63","null","0","132","null","null","0","132","null","null","54","null","57","null","16","null","24","null","47","null","50","null","0","132","null","null","54","null","80","null","0","132","null","null","0","132","null","null","0","null","132","null","0","132","null","null",
"1400000US04013105601","Census Tract 1056.01, Maricopa County, Arizona","538","69","null","null","0","132","null","null","0","null","132","null","0","132","null","null","113","null","73","null","6","null","9","null","56","43","null","null","84","55","null","null","26","null","29","null","0","null","132","null","61","null","66","null","66","63","null","null","0","null","132","null","94","86","null","null","0","132","null","null","32","null","48","null","0","132","null","null",
"1400000US04013105602","Census Tract 1056.02, Maricopa County, Arizona","619","172","null","null","64","76","null","null","10","null","16","null","66","59","null","null","52","null","59","null","69","null","62","null","30","48","null","null","42","50","null","null","137","null","97","null","0","null","132","null","39","null","47","null","22","37","null","null","60","null","71","null","28","42","null","null","0","132","null","null","0","null","132","null","0","132","null","null",
"1400000US04013105701","Census Tract 1057.01, Maricopa County, Arizona","199","79","null","null","10","16","null","null","0","null","132","null","13","17","null","null","0","null","132","null","36","null","47","null","19","29","null","null","14","24","null","null","8","null","13","null","0","null","132","null","29","null","38","null","48","43","null","null","11","null","17","null","0","132","null","null","11","17","null","null","0","null","132","null","0","132","null","null",
"1400000US04013105702","Census Tract 1057.02, Maricopa County, Arizona","379","125","null","null","0","132","null","null","0","null","132","null","28","47","null","null","54","null","60","null","11","null","17","null","76","72","null","null","110","86","null","null","51","null","62","null","0","null","132","null","17","null","20","null","10","17","null","null","22","null","27","null","0","132","null","null","0","132","null","null","0","null","132","null","0","132","null","null",
"1400000US04013105800","Census Tract 1058, Maricopa County, Arizona","504","167","null","null","0","132","null","null","0","null","132","null","14","24","null","null","41","null","47","null","34","null","44","null","70","69","null","null","22","35","null","null","6","null","11","null","88","null","81","null","56","null","68","null","153","110","null","null","0","null","132","null","20","32","null","null","0","132","null","null","0","null","132","null","0","132","null","null",
"1400000US04013105900","Census Tract 1059, Maricopa County, Arizona","536","179","null","null","73","82","null","null","40","null","66","null","0","132","null","null","38","null","39","null","45","null","58","null","40","54","null","null","81","76","null","null","59","null","71","null","40","null","65","null","67","null","93","null","0","132","null","null","9","null","15","null","31","35","null","null","0","132","null","null","0","null","132","null","13","22","null","null",
