"GEO_ID","NAME","B19001I_001E","B19001I_001EA","B19001I_001M","B19001I_001MA","B19001I_002E","B19001I_002EA","B19001I_002M","B19001I_002MA","B19001I_003E","B19001I_003M","B19001I_003MA","B19001I_003EA","B19001I_004E","B19001I_004M","B19001I_004MA","B19001I_004EA","B19001I_005E","B19001I_005M","B19001I_005MA","B19001I_005EA","B19001I_006E","B19001I_006EA","B19001I_006M","B19001I_006MA","B19001I_007E","B19001I_007EA","B19001I_007M","B19001I_007MA","B19001I_008E","B19001I_008M","B19001I_008MA","B19001I_008EA","B19001I_009E","B19001I_009M","B19001I_009MA","B19001I_009EA","B19001I_010E","B19001I_010M","B19001I_010MA","B19001I_010EA","B19001I_011E","B19001I_011M","B19001I_011MA","B19001I_011EA","B19001I_012E","B19001I_012EA","B19001I_012M","B19001I_012MA","B19001I_013E","B19001I_013EA","B19001I_013M","B19001I_013MA","B19001I_014E","B19001I_014EA","B19001I_014M","B19001I_014MA","B19001I_015E","B19001I_015EA","B19001I_015M","B19001I_015MA","B19001I_016E","B19001I_016M","B19001I_016MA","B19001I_016EA","B19001I_017E","B19001I_017EA","B19001I_017M","B19001I_017MA",
"1400000US04013112401","Census Tract 1124.01, Maricopa County, Arizona","1106","null","128","null","86","null","71","null","63","58","null","null","110","86","null","null","139","94","null","null","16","null","24","null","87","null","62","null","143","99","null","null","61","66","null","null","75","59","null","null","117","63","null","null","72","null","44","null","88","null","64","null","12","null","19","null","8","null","13","null","29","41","null","null","0","null","101","null",
"1400000US04013112402","Census Tract 1124.02, Maricopa County, Arizona","905","null","124","null","52","null","47","null","65","63","null","null","33","37","null","null","50","48","null","null","37","null","48","null","224","null","114","null","64","63","null","null","61","63","null","null","46","33","null","null","44","37","null","null","94","null","77","null","47","null","46","null","73","null","72","null","0","null","101","null","15","26","null","null","0","null","101","null",
"1400000US04013112502","Census Tract 1125.02, Maricopa County, Arizona","971","null","106","null","42","null","50","null","38","38","null","null","67","54","null","null","88","70","null","null","45","null","54","null","229","null","103","null","16","20","null","null","72","60","null","null","66","51","null","null","171","87","null","null","12","null","16","null","89","null","69","null","36","null","34","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013112503","Census Tract 1125.03, Maricopa County, Arizona","1363","null","127","null","84","null","59","null","91","75","null","null","132","90","null","null","97","72","null","null","60","null","52","null","101","null","59","null","95","68","null","null","47","45","null","null","117","68","null","null","127","68","null","null","237","null","112","null","102","null","67","null","37","null","42","null","0","null","101","null","36","46","null","null","0","null","101","null",
"1400000US04013112504","Census Tract 1125.04, Maricopa County, Arizona","762","null","119","null","93","null","75","null","125","76","null","null","55","47","null","null","34","32","null","null","36","null","26","null","47","null","45","null","23","27","null","null","70","54","null","null","39","43","null","null","73","58","null","null","16","null","19","null","44","null","63","null","94","null","69","null","0","null","101","null","13","20","null","null","0","null","101","null",
"1400000US04013112505","Census Tract 1125.05, Maricopa County, Arizona","1794","null","188","null","171","null","111","null","204","109","null","null","133","102","null","null","187","106","null","null","168","null","110","null","135","null","98","null","127","104","null","null","127","90","null","null","74","70","null","null","211","99","null","null","80","null","76","null","112","null","77","null","65","null","72","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013112507","Census Tract 1125.07, Maricopa County, Arizona","555","null","104","null","96","null","72","null","57","39","null","null","129","67","null","null","54","47","null","null","29","null","32","null","7","null","9","null","16","21","null","null","46","39","null","null","21","32","null","null","36","39","null","null","54","null","40","null","0","null","101","null","10","null","16","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013112508","Census Tract 1125.08, Maricopa County, Arizona","306","null","62","null","19","null","31","null","0","101","null","null","5","8","null","null","19","21","null","null","43","null","46","null","57","null","50","null","53","43","null","null","0","101","null","null","0","101","null","null","37","35","null","null","31","null","28","null","0","null","101","null","0","null","101","null","42","null","37","null","0","101","null","null","0","null","101","null",
"1400000US04013112509","Census Tract 1125.09, Maricopa County, Arizona","1516","null","249","null","210","null","178","null","108","87","null","null","211","121","null","null","29","48","null","null","123","null","91","null","188","null","135","null","179","133","null","null","127","107","null","null","39","62","null","null","184","203","null","null","0","null","101","null","118","null","96","null","0","null","101","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013112510","Census Tract 1125.10, Maricopa County, Arizona","783","null","139","null","0","null","101","null","0","101","null","null","33","51","null","null","0","101","null","null","82","null","120","null","34","null","39","null","46","48","null","null","22","34","null","null","15","29","null","null","112","78","null","null","62","null","64","null","231","null","109","null","96","null","111","null","50","null","63","null","0","101","null","null","0","null","101","null",
"1400000US04013112511","Census Tract 1125.11, Maricopa County, Arizona","981","null","147","null","57","null","73","null","42","52","null","null","82","91","null","null","59","59","null","null","30","null","39","null","42","null","58","null","91","80","null","null","36","54","null","null","18","22","null","null","51","54","null","null","171","null","133","null","99","null","79","null","141","null","97","null","21","null","38","null","0","101","null","null","41","null","63","null",
"1400000US04013112512","Census Tract 1125.12, Maricopa County, Arizona","363","null","104","null","56","null","53","null","0","101","null","null","66","61","null","null","39","46","null","null","31","null","50","null","81","null","78","null","33","47","null","null","0","101","null","null","20","31","null","null","37","49","null","null","0","null","101","null","0","null","101","null","0","null","101","null","0","null","101","null","0","101","null","null","0","null","101","null",
"1400000US04013112513","Census Tract 1125.13, Maricopa County, Arizona","1651","null","186","null","57","null","91","null","63","76","null","null","79","75","null","null","44","52","null","null","72","null","77","null","136","null","148","null","77","75","null","null","168","158","null","null","193","126","null","null","179","118","null","null","343","null","176","null","163","null","138","null","41","null","39","null","7","null","17","null","29","38","null","null","0","null","101","null",
"1400000US04013112514","Census Tract 1125.14, Maricopa County, Arizona","273","null","105","null","0","null","101","null","29","46","null","null","18","30","null","null","0","101","null","null","0","null","101","null","27","null","23","null","0","101","null","null","9","15","null","null","0","101","null","null","91","71","null","null","20","null","30","null","24","null","35","null","36","null","52","null","0","null","101","null","19","30","null","null","0","null","101","null",
"1400000US04013112601","Census Tract 1126.01, Maricopa County, Arizona","706","null","101","null","140","null","73","null","106","70","null","null","93","64","null","null","68","53","null","null","34","null","31","null","42","null","48","null","66","55","null","null","54","53","null","null","0","101","null","null","38","43","null","null","0","null","101","null","22","null","19","null","12","null","17","null","31","null","25","null","0","101","null","null","0","null","101","null",
"1400000US04013112602","Census Tract 1126.02, Maricopa County, Arizona","1666","null","113","null","257","null","104","null","220","95","null","null","225","84","null","null","223","95","null","null","108","null","61","null","70","null","50","null","81","57","null","null","54","47","null","null","98","70","null","null","60","50","null","null","74","null","58","null","111","null","79","null","43","null","48","null","23","null","29","null","19","30","null","null","0","null","101","null",
