"GEO_ID","NAME","B19001I_001E","B19001I_001M","B19001I_001MA","B19001I_001EA","B19001I_002E","B19001I_002EA","B19001I_002M","B19001I_002MA","B19001I_003E","B19001I_003M","B19001I_003MA","B19001I_003EA","B19001I_004E","B19001I_004EA","B19001I_004M","B19001I_004MA","B19001I_005E","B19001I_005EA","B19001I_005M","B19001I_005MA","B19001I_006E","B19001I_006EA","B19001I_006M","B19001I_006MA","B19001I_007E","B19001I_007EA","B19001I_007M","B19001I_007MA","B19001I_008E","B19001I_008M","B19001I_008MA","B19001I_008EA","B19001I_009E","B19001I_009EA","B19001I_009M","B19001I_009MA","B19001I_010E","B19001I_010M","B19001I_010MA","B19001I_010EA","B19001I_011E","B19001I_011M","B19001I_011MA","B19001I_011EA","B19001I_012E","B19001I_012EA","B19001I_012M","B19001I_012MA","B19001I_013E","B19001I_013M","B19001I_013MA","B19001I_013EA","B19001I_014E","B19001I_014EA","B19001I_014M","B19001I_014MA","B19001I_015E","B19001I_015M","B19001I_015MA","B19001I_015EA","B19001I_016E","B19001I_016M","B19001I_016MA","B19001I_016EA","B19001I_017E","B19001I_017EA","B19001I_017M","B19001I_017MA",
"1400000US04013071701","Census Tract 717.01, Maricopa County, Arizona","242","88","null","null","0","null","13","null","0","13","null","null","9","null","13","null","0","null","13","null","8","null","12","null","4","null","6","null","22","31","null","null","21","null","35","null","0","13","null","null","11","13","null","null","118","null","87","null","30","25","null","null","19","null","20","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04013071702","Census Tract 717.02, Maricopa County, Arizona","119","115","null","null","0","null","13","null","13","20","null","null","36","null","59","null","0","null","13","null","0","null","13","null","0","null","13","null","10","17","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","60","101","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04013071801","Census Tract 718.01, Maricopa County, Arizona","70","59","null","null","0","null","19","null","18","31","null","null","24","null","37","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","19","null","null","11","18","null","null","0","null","19","null","0","19","null","null","17","null","28","null","0","19","null","null","0","19","null","null","0","null","19","null",
"1400000US04013071802","Census Tract 718.02, Maricopa County, Arizona","46","41","null","null","0","null","13","null","15","24","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","30","34","null","null","1","null","2","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04013071903","Census Tract 719.03, Maricopa County, Arizona","497","229","null","null","0","null","19","null","0","19","null","null","0","null","19","null","21","null","36","null","0","null","19","null","0","null","19","null","23","39","null","null","152","null","220","null","0","19","null","null","46","63","null","null","89","null","72","null","0","19","null","null","37","null","62","null","129","105","null","null","0","19","null","null","0","null","19","null",
"1400000US04013071906","Census Tract 719.06, Maricopa County, Arizona","652","141","null","null","33","null","47","null","22","24","null","null","33","null","40","null","26","null","42","null","38","null","35","null","0","null","19","null","37","32","null","null","21","null","19","null","45","49","null","null","80","64","null","null","104","null","60","null","78","85","null","null","60","null","56","null","45","35","null","null","26","39","null","null","4","null","6","null",
"1400000US04013071909","Census Tract 719.09, Maricopa County, Arizona","337","98","null","null","6","null","10","null","0","13","null","null","31","null","24","null","7","null","12","null","14","null","22","null","11","null","16","null","14","21","null","null","36","null","33","null","26","36","null","null","8","13","null","null","59","null","58","null","100","90","null","null","24","null","25","null","0","13","null","null","0","13","null","null","1","null","2","null",
"1400000US04013071910","Census Tract 719.10, Maricopa County, Arizona","748","266","null","null","0","null","19","null","17","30","null","null","0","null","19","null","0","null","19","null","0","null","19","null","33","null","38","null","266","233","null","null","65","null","76","null","115","105","null","null","59","94","null","null","0","null","19","null","144","127","null","null","0","null","19","null","33","38","null","null","16","27","null","null","0","null","19","null",
"1400000US04013071911","Census Tract 719.11, Maricopa County, Arizona","224","57","null","null","0","null","13","null","7","15","null","null","0","null","13","null","9","null","15","null","0","null","13","null","0","null","13","null","33","35","null","null","0","null","13","null","11","16","null","null","0","13","null","null","37","null","31","null","38","43","null","null","41","null","34","null","0","13","null","null","16","22","null","null","32","null","40","null",
"1400000US04013071912","Census Tract 719.12, Maricopa County, Arizona","457","228","null","null","11","null","17","null","0","13","null","null","12","null","18","null","7","null","12","null","42","null","40","null","131","null","204","null","28","44","null","null","0","null","13","null","19","30","null","null","0","13","null","null","40","null","37","null","160","104","null","null","4","null","6","null","0","13","null","null","0","13","null","null","3","null","5","null",
"1400000US04013071913","Census Tract 719.13, Maricopa County, Arizona","425","103","null","null","75","null","62","null","0","19","null","null","0","null","19","null","29","null","30","null","0","null","19","null","26","null","42","null","29","43","null","null","8","null","13","null","42","48","null","null","18","20","null","null","8","null","14","null","93","60","null","null","64","null","48","null","33","49","null","null","0","19","null","null","0","null","19","null",
"1400000US04013071914","Census Tract 719.14, Maricopa County, Arizona","322","67","null","null","9","null","14","null","0","13","null","null","50","null","43","null","25","null","21","null","36","null","35","null","12","null","14","null","9","13","null","null","3","null","5","null","24","23","null","null","34","29","null","null","55","null","30","null","22","19","null","null","15","null","16","null","20","21","null","null","8","13","null","null","0","null","13","null",
"1400000US04013071915","Census Tract 719.15, Maricopa County, Arizona","251","101","null","null","0","null","13","null","0","13","null","null","11","null","17","null","26","null","27","null","0","null","13","null","0","null","13","null","13","20","null","null","0","null","13","null","8","12","null","null","12","18","null","null","27","null","34","null","33","41","null","null","73","null","42","null","35","54","null","null","13","22","null","null","0","null","13","null",
"1400000US04013082002","Census Tract 820.02, Maricopa County, Arizona","1342","471","null","null","55","null","70","null","47","71","null","null","22","null","38","null","69","null","70","null","142","null","204","null","64","null","84","null","19","32","null","null","42","null","58","null","0","19","null","null","67","80","null","null","124","null","118","null","600","411","null","null","47","null","56","null","44","41","null","null","0","19","null","null","0","null","19","null",
"1400000US04013082007","Census Tract 820.07, Maricopa County, Arizona","733","80","null","null","31","null","30","null","25","31","null","null","35","null","45","null","19","null","21","null","67","null","46","null","9","null","13","null","142","84","null","null","30","null","27","null","15","16","null","null","106","82","null","null","121","null","74","null","67","53","null","null","29","null","41","null","37","39","null","null","0","13","null","null","0","null","13","null",
"1400000US04013082008","Census Tract 820.08, Maricopa County, Arizona","1449","478","null","null","52","null","51","null","29","28","null","null","7","null","12","null","71","null","46","null","84","null","55","null","339","null","290","null","27","31","null","null","60","null","67","null","86","64","null","null","57","51","null","null","180","null","95","null","357","378","null","null","14","null","24","null","36","43","null","null","32","32","null","null","18","null","25","null",
"1400000US04013082009","Census Tract 820.09, Maricopa County, Arizona","912","192","null","null","142","null","162","null","24","24","null","null","10","null","16","null","0","null","19","null","52","null","45","null","85","null","67","null","40","45","null","null","0","null","19","null","53","43","null","null","133","93","null","null","111","null","68","null","139","73","null","null","55","null","52","null","33","41","null","null","35","55","null","null","0","null","19","null",
"1400000US04013082010","Census Tract 820.10, Maricopa County, Arizona","705","94","null","null","0","null","19","null","9","15","null","null","63","null","66","null","108","null","75","null","46","null","49","null","28","null","30","null","20","30","null","null","53","null","48","null","37","58","null","null","48","43","null","null","51","null","44","null","126","75","null","null","83","null","49","null","9","17","null","null","24","38","null","null","0","null","19","null",
"1400000US04013082012","Census Tract 820.12, Maricopa County, Arizona","878","134","null","null","6","null","12","null","24","33","null","null","13","null","25","null","18","null","29","null","20","null","34","null","16","null","20","null","76","64","null","null","39","null","44","null","32","38","null","null","125","70","null","null","189","null","89","null","207","119","null","null","35","null","40","null","15","18","null","null","56","56","null","null","7","null","12","null",
"1400000US04013082016","Census Tract 820.16, Maricopa County, Arizona","419","119","null","null","0","null","13","null","0","13","null","null","3","null","6","null","7","null","11","null","43","null","29","null","12","null","19","null","0","13","null","null","22","null","23","null","42","68","null","null","13","19","null","null","38","null","34","null","144","87","null","null","71","null","52","null","0","13","null","null","24","24","null","null","0","null","13","null",
"1400000US04013082017","Census Tract 820.17, Maricopa County, Arizona","679","176","null","null","53","null","69","null","10","19","null","null","45","null","67","null","0","null","13","null","44","null","64","null","33","null","38","null","68","108","null","null","13","null","19","null","7","11","null","null","83","66","null","null","123","null","78","null","10","17","null","null","109","null","83","null","32","52","null","null","6","15","null","null","43","null","53","null",
"1400000US04013082018","Census Tract 820.18, Maricopa County, Arizona","1130","294","null","null","11","null","14","null","34","29","null","null","0","null","19","null","66","null","63","null","66","null","62","null","81","null","64","null","23","28","null","null","81","null","63","null","24","27","null","null","52","48","null","null","301","null","286","null","175","111","null","null","168","null","85","null","26","30","null","null","14","22","null","null","8","null","15","null",
"1400000US04013082019","Census Tract 820.19, Maricopa County, Arizona","188","74","null","null","0","null","13","null","2","5","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","3","6","null","null","11","null","21","null","0","13","null","null","0","13","null","null","36","null","53","null","61","48","null","null","37","null","49","null","13","19","null","null","15","22","null","null","10","null","14","null",
"1400000US04013082020","Census Tract 820.20, Maricopa County, Arizona","374","115","null","null","0","null","13","null","0","13","null","null","8","null","14","null","6","null","10","null","0","null","13","null","0","null","13","null","0","13","null","null","6","null","9","null","0","13","null","null","77","92","null","null","49","null","56","null","50","49","null","null","72","null","65","null","53","59","null","null","44","76","null","null","9","null","16","null",
"1400000US04013082021","Census Tract 820.21, Maricopa County, Arizona","364","85","null","null","4","null","6","null","21","35","null","null","57","null","59","null","6","null","19","null","0","null","13","null","9","null","13","null","0","13","null","null","9","null","18","null","0","13","null","null","28","35","null","null","33","null","48","null","96","78","null","null","25","null","25","null","72","74","null","null","0","13","null","null","4","null","6","null",
"1400000US04013082022","Census Tract 820.22, Maricopa County, Arizona","605","315","null","null","0","null","19","null","7","12","null","null","0","null","19","null","0","null","19","null","226","null","300","null","60","null","55","null","43","41","null","null","0","null","19","null","31","41","null","null","56","49","null","null","0","null","19","null","69","52","null","null","100","null","66","null","0","19","null","null","13","21","null","null","0","null","19","null",
"1400000US04013082023","Census Tract 820.23, Maricopa County, Arizona","595","217","null","null","34","null","40","null","0","19","null","null","4","null","6","null","0","null","19","null","17","null","19","null","17","null","18","null","0","19","null","null","0","null","19","null","8","13","null","null","71","56","null","null","47","null","43","null","222","195","null","null","59","null","52","null","19","20","null","null","72","59","null","null","25","null","36","null",
"1400000US04013082024","Census Tract 820.24, Maricopa County, Arizona","544","116","null","null","43","null","44","null","0","13","null","null","0","null","13","null","10","null","21","null","100","null","108","null","0","null","13","null","57","57","null","null","10","null","16","null","0","13","null","null","59","59","null","null","87","null","75","null","60","62","null","null","20","null","31","null","21","29","null","null","24","33","null","null","53","null","60","null",
