"GEO_ID","NAME","B19001I_001E","B19001I_001M","B19001I_001MA","B19001I_001EA","B19001I_002E","B19001I_002EA","B19001I_002M","B19001I_002MA","B19001I_003E","B19001I_003EA","B19001I_003M","B19001I_003MA","B19001I_004E","B19001I_004EA","B19001I_004M","B19001I_004MA","B19001I_005E","B19001I_005M","B19001I_005MA","B19001I_005EA","B19001I_006E","B19001I_006M","B19001I_006MA","B19001I_006EA","B19001I_007E","B19001I_007EA","B19001I_007M","B19001I_007MA","B19001I_008E","B19001I_008EA","B19001I_008M","B19001I_008MA","B19001I_009E","B19001I_009M","B19001I_009MA","B19001I_009EA","B19001I_010E","B19001I_010EA","B19001I_010M","B19001I_010MA","B19001I_011E","B19001I_011M","B19001I_011MA","B19001I_011EA","B19001I_012E","B19001I_012EA","B19001I_012M","B19001I_012MA","B19001I_013E","B19001I_013EA","B19001I_013M","B19001I_013MA","B19001I_014E","B19001I_014EA","B19001I_014M","B19001I_014MA","B19001I_015E","B19001I_015EA","B19001I_015M","B19001I_015MA","B19001I_016E","B19001I_016M","B19001I_016MA","B19001I_016EA","B19001I_017E","B19001I_017M","B19001I_017MA","B19001I_017EA",
"1400000US04013108802","Census Tract 1088.02, Maricopa County, Arizona","182","59","null","null","20","null","22","null","0","null","12","null","0","null","12","null","34","33","null","null","16","14","null","null","12","null","14","null","5","null","8","null","31","20","null","null","17","null","21","null","18","17","null","null","19","null","31","null","0","null","12","null","10","null","16","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013108901","Census Tract 1089.01, Maricopa County, Arizona","441","111","null","null","69","null","55","null","54","null","56","null","61","null","54","null","29","34","null","null","42","52","null","null","6","null","11","null","62","null","63","null","46","34","null","null","10","null","15","null","42","33","null","null","12","null","13","null","8","null","14","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013108902","Census Tract 1089.02, Maricopa County, Arizona","648","116","null","null","119","null","78","null","68","null","69","null","53","null","52","null","91","74","null","null","83","75","null","null","30","null","30","null","17","null","19","null","53","48","null","null","12","null","15","null","61","55","null","null","33","null","41","null","14","null","23","null","14","null","17","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013109001","Census Tract 1090.01, Maricopa County, Arizona","859","163","null","null","126","null","83","null","69","null","51","null","102","null","74","null","122","71","null","null","85","60","null","null","96","null","93","null","72","null","67","null","61","83","null","null","32","null","37","null","44","58","null","null","34","null","38","null","16","null","26","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013109002","Census Tract 1090.02, Maricopa County, Arizona","621","119","null","null","67","null","46","null","29","null","34","null","92","null","78","null","156","90","null","null","71","53","null","null","64","null","53","null","10","null","16","null","23","27","null","null","11","null","19","null","80","50","null","null","0","null","12","null","0","null","12","null","0","null","12","null","18","null","26","null","0","12","null","null","0","12","null","null",
"1400000US04013109003","Census Tract 1090.03, Maricopa County, Arizona","1195","160","null","null","128","null","92","null","200","null","106","null","147","null","87","null","109","73","null","null","82","56","null","null","180","null","102","null","31","null","35","null","95","59","null","null","44","null","44","null","90","70","null","null","78","null","57","null","4","null","15","null","7","null","14","null","0","null","17","null","0","17","null","null","0","17","null","null",
"1400000US04013109101","Census Tract 1091.01, Maricopa County, Arizona","487","89","null","null","18","null","18","null","0","null","12","null","72","null","46","null","46","30","null","null","33","27","null","null","37","null","29","null","14","null","17","null","38","31","null","null","63","null","55","null","40","33","null","null","32","null","21","null","52","null","41","null","15","null","16","null","27","null","28","null","0","12","null","null","0","12","null","null",
"1400000US04013109102","Census Tract 1091.02, Maricopa County, Arizona","1057","160","null","null","47","null","43","null","69","null","57","null","61","null","60","null","123","77","null","null","215","109","null","null","93","null","68","null","113","null","93","null","54","55","null","null","28","null","32","null","58","53","null","null","83","null","68","null","81","null","61","null","32","null","35","null","0","null","17","null","0","17","null","null","0","17","null","null",
"1400000US04013109200","Census Tract 1092, Maricopa County, Arizona","723","103","null","null","185","null","76","null","93","null","58","null","76","null","52","null","104","56","null","null","37","40","null","null","36","null","29","null","29","null","36","null","28","33","null","null","0","null","12","null","51","46","null","null","42","null","35","null","16","null","18","null","9","null","14","null","17","null","27","null","0","12","null","null","0","12","null","null",
"1400000US04013109300","Census Tract 1093, Maricopa County, Arizona","818","66","null","null","79","null","48","null","69","null","49","null","86","null","87","null","148","84","null","null","68","71","null","null","37","null","39","null","108","null","66","null","20","25","null","null","52","null","66","null","85","57","null","null","27","null","40","null","6","null","11","null","16","null","24","null","0","null","17","null","0","17","null","null","17","23","null","null",
