"GEO_ID","NAME","B19013H_001M","B19013H_001MA","B19013H_001E","B19013H_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US04009961201","Census Tract 9612.01, Graham County, Arizona","17841","null","47443","null",
"1400000US04009961202","Census Tract 9612.02, Graham County, Arizona","16378","null","53009","null",
"1400000US04009961300","Census Tract 9613, Graham County, Arizona","10010","null","26642","null",
"1400000US04009961400","Census Tract 9614, Graham County, Arizona","11888","null","40282","null",
"1400000US04009961500","Census Tract 9615, Graham County, Arizona","5539","null","44461","null",
"1400000US04009961600","Census Tract 9616, Graham County, Arizona","32977","null","52742","null",
"1400000US04009961700","Census Tract 9617, Graham County, Arizona","10871","null","42188","null",
"1400000US04011960100","Census Tract 9601, Greenlee County, Arizona","5664","null","34361","null",
"1400000US04011960200","Census Tract 9602, Greenlee County, Arizona","15250","null","57431","null",
"1400000US04011960300","Census Tract 9603, Greenlee County, Arizona","7210","null","39076","null",
"1400000US04012020100","Census Tract 201, La Paz County, Arizona","3539","null","30833","null",
"1400000US04012020201","Census Tract 202.01, La Paz County, Arizona","16770","null","38500","null",
"1400000US04012020202","Census Tract 202.02, La Paz County, Arizona","4023","null","40848","null",
"1400000US04012020501","Census Tract 205.01, La Paz County, Arizona","13882","null","37634","null",
"1400000US04012020502","Census Tract 205.02, La Paz County, Arizona","6204","null","34648","null",
"1400000US04012020602","Census Tract 206.02, La Paz County, Arizona","25111","null","32083","null",
"1400000US04012940200","Census Tract 9402, La Paz County, Arizona","11851","null","39762","null",
"1400000US04012940300","Census Tract 9403, La Paz County, Arizona","7605","null","26786","null",
"1400000US04012980000","Census Tract 9800, La Paz County, Arizona","**","**","-","-",
"1400000US04013010101","Census Tract 101.01, Maricopa County, Arizona","19247","null","88889","null",
"1400000US04013010102","Census Tract 101.02, Maricopa County, Arizona","22989","null","127917","null",
"1400000US04013030401","Census Tract 304.01, Maricopa County, Arizona","27638","null","122833","null",
"1400000US04013030402","Census Tract 304.02, Maricopa County, Arizona","30146","null","99250","null",
"1400000US04013040502","Census Tract 405.02, Maricopa County, Arizona","10001","null","41129","null",
"1400000US04013040506","Census Tract 405.06, Maricopa County, Arizona","2910","null","40867","null",
"1400000US04013040507","Census Tract 405.07, Maricopa County, Arizona","5217","null","41566","null",
"1400000US04013040512","Census Tract 405.12, Maricopa County, Arizona","9628","null","57759","null",
"1400000US04013040513","Census Tract 405.13, Maricopa County, Arizona","5314","null","49929","null",
"1400000US04013040514","Census Tract 405.14, Maricopa County, Arizona","2626","null","46293","null",
"1400000US04013040515","Census Tract 405.15, Maricopa County, Arizona","6486","null","52825","null",
"1400000US04013040516","Census Tract 405.16, Maricopa County, Arizona","9031","null","67125","null",
"1400000US04013040517","Census Tract 405.17, Maricopa County, Arizona","6640","null","51875","null",
"1400000US04013040518","Census Tract 405.18, Maricopa County, Arizona","10449","null","54035","null",
"1400000US04013040519","Census Tract 405.19, Maricopa County, Arizona","11218","null","78768","null",
"1400000US04013040520","Census Tract 405.20, Maricopa County, Arizona","15642","null","100601","null",
"1400000US04013040521","Census Tract 405.21, Maricopa County, Arizona","13546","null","85826","null",
