"GEO_ID","NAME","B19301_001M","B19301_001MA","B19301_001E","B19301_001EA",
"1400000US04013050607","Census Tract 506.07, Maricopa County, Arizona","1799","null","16531","null",
"1400000US04013050608","Census Tract 506.08, Maricopa County, Arizona","2440","null","21200","null",
"1400000US04013050609","Census Tract 506.09, Maricopa County, Arizona","2582","null","21227","null",
"1400000US04013050610","Census Tract 506.10, Maricopa County, Arizona","2540","null","24010","null",
"1400000US04013050611","Census Tract 506.11, Maricopa County, Arizona","12608","null","26469","null",
"1400000US04013050701","Census Tract 507.01, Maricopa County, Arizona","1864","null","18247","null",
"1400000US04013050702","Census Tract 507.02, Maricopa County, Arizona","1831","null","15530","null",
"1400000US04013060801","Census Tract 608.01, Maricopa County, Arizona","3228","null","14466","null",
"1400000US04013060802","Census Tract 608.02, Maricopa County, Arizona","2648","null","18897","null",
"1400000US04013060901","Census Tract 609.01, Maricopa County, Arizona","2279","null","17461","null",
"1400000US04013060902","Census Tract 609.02, Maricopa County, Arizona","2033","null","12705","null",
"1400000US04013060903","Census Tract 609.03, Maricopa County, Arizona","2056","null","13115","null",
"1400000US04013060904","Census Tract 609.04, Maricopa County, Arizona","1701","null","11745","null",
"1400000US04013061009","Census Tract 610.09, Maricopa County, Arizona","2596","null","24426","null",
"1400000US04013061010","Census Tract 610.10, Maricopa County, Arizona","6080","null","48488","null",
"1400000US04013061011","Census Tract 610.11, Maricopa County, Arizona","2904","null","18059","null",
"1400000US04013061012","Census Tract 610.12, Maricopa County, Arizona","3769","null","27740","null",
"1400000US04013061013","Census Tract 610.13, Maricopa County, Arizona","4093","null","28825","null",
"1400000US04013061014","Census Tract 610.14, Maricopa County, Arizona","4473","null","32914","null",
"1400000US04013061015","Census Tract 610.15, Maricopa County, Arizona","2788","null","25750","null",
"1400000US04013061016","Census Tract 610.16, Maricopa County, Arizona","8410","null","39192","null",
"1400000US04013061017","Census Tract 610.17, Maricopa County, Arizona","1546","null","3950","null",
"1400000US04013061018","Census Tract 610.18, Maricopa County, Arizona","5464","null","46130","null",
"1400000US04013061019","Census Tract 610.19, Maricopa County, Arizona","14928","null","30809","null",
"1400000US04013061020","Census Tract 610.20, Maricopa County, Arizona","5938","null","33689","null",
"1400000US04013061021","Census Tract 610.21, Maricopa County, Arizona","7863","null","29313","null",
"1400000US04013061022","Census Tract 610.22, Maricopa County, Arizona","1813","null","24604","null",
"1400000US04013061023","Census Tract 610.23, Maricopa County, Arizona","2475","null","27005","null",
"1400000US04013061024","Census Tract 610.24, Maricopa County, Arizona","3057","null","15165","null",
"1400000US04013061025","Census Tract 610.25, Maricopa County, Arizona","2820","null","24252","null",
"1400000US04013061026","Census Tract 610.26, Maricopa County, Arizona","2823","null","24451","null",
"1400000US04013061027","Census Tract 610.27, Maricopa County, Arizona","1646","null","23649","null",
"1400000US04013061028","Census Tract 610.28, Maricopa County, Arizona","4957","null","23074","null",
"1400000US04013061029","Census Tract 610.29, Maricopa County, Arizona","3040","null","22484","null",
"1400000US04013061030","Census Tract 610.30, Maricopa County, Arizona","2327","null","24753","null",
"1400000US04013061031","Census Tract 610.31, Maricopa County, Arizona","5053","null","21628","null",
"1400000US04013061032","Census Tract 610.32, Maricopa County, Arizona","1852","null","22007","null",
"1400000US04013061033","Census Tract 610.33, Maricopa County, Arizona","2283","null","22041","null",
"1400000US04013061034","Census Tract 610.34, Maricopa County, Arizona","2136","null","23631","null",
"1400000US04013061035","Census Tract 610.35, Maricopa County, Arizona","2724","null","24161","null",
"1400000US04013061036","Census Tract 610.36, Maricopa County, Arizona","2913","null","25491","null",
"1400000US04013061037","Census Tract 610.37, Maricopa County, Arizona","3570","null","25452","null",
"1400000US04013061038","Census Tract 610.38, Maricopa County, Arizona","3214","null","26259","null",
"1400000US04013061039","Census Tract 610.39, Maricopa County, Arizona","3973","null","28053","null",
"1400000US04013061040","Census Tract 610.40, Maricopa County, Arizona","2767","null","21283","null",
"1400000US04013061041","Census Tract 610.41, Maricopa County, Arizona","2459","null","14356","null",
"1400000US04013061042","Census Tract 610.42, Maricopa County, Arizona","2526","null","20580","null",
"1400000US04013061043","Census Tract 610.43, Maricopa County, Arizona","3059","null","19376","null",
"1400000US04013061044","Census Tract 610.44, Maricopa County, Arizona","4807","null","28584","null",
"1400000US04013061045","Census Tract 610.45, Maricopa County, Arizona","3978","null","29001","null",
"1400000US04013061046","Census Tract 610.46, Maricopa County, Arizona","5372","null","28215","null",
"1400000US04013061047","Census Tract 610.47, Maricopa County, Arizona","7123","null","33156","null",
"1400000US04013061100","Census Tract 611, Maricopa County, Arizona","1953","null","12995","null",
"1400000US04013061200","Census Tract 612, Maricopa County, Arizona","3076","null","16288","null",
"1400000US04013061300","Census Tract 613, Maricopa County, Arizona","2679","null","14844","null",
"1400000US04013061401","Census Tract 614.01, Maricopa County, Arizona","2312","null","8669","null",
"1400000US04013061402","Census Tract 614.02, Maricopa County, Arizona","1514","null","11329","null",
"1400000US04013071503","Census Tract 715.03, Maricopa County, Arizona","2586","null","30044","null",
"1400000US04013071504","Census Tract 715.04, Maricopa County, Arizona","3927","null","26910","null",
"1400000US04013071505","Census Tract 715.05, Maricopa County, Arizona","2114","null","24749","null",
"1400000US04013071506","Census Tract 715.06, Maricopa County, Arizona","2729","null","30888","null",
"1400000US04013071509","Census Tract 715.09, Maricopa County, Arizona","2757","null","33115","null",
"1400000US04013071510","Census Tract 715.10, Maricopa County, Arizona","5321","null","33510","null",
"1400000US04013071511","Census Tract 715.11, Maricopa County, Arizona","3111","null","22851","null",
"1400000US04013071512","Census Tract 715.12, Maricopa County, Arizona","2348","null","24391","null",
"1400000US04013071513","Census Tract 715.13, Maricopa County, Arizona","8308","null","40960","null",
"1400000US04013071514","Census Tract 715.14, Maricopa County, Arizona","4821","null","35084","null",
"1400000US04013071515","Census Tract 715.15, Maricopa County, Arizona","9386","null","38010","null",
"1400000US04013071516","Census Tract 715.16, Maricopa County, Arizona","2655","null","25358","null",
"1400000US04013071517","Census Tract 715.17, Maricopa County, Arizona","3314","null","29039","null",
"1400000US04013071600","Census Tract 716, Maricopa County, Arizona","2056","null","16020","null",
"1400000US04013071701","Census Tract 717.01, Maricopa County, Arizona","3406","null","20584","null",
"1400000US04013071702","Census Tract 717.02, Maricopa County, Arizona","4090","null","27081","null",
"1400000US04013071801","Census Tract 718.01, Maricopa County, Arizona","1648","null","21311","null",
"1400000US04013071802","Census Tract 718.02, Maricopa County, Arizona","1950","null","24771","null",
"1400000US04013071903","Census Tract 719.03, Maricopa County, Arizona","2306","null","21232","null",
"1400000US04013071906","Census Tract 719.06, Maricopa County, Arizona","3003","null","22325","null",
"1400000US04013071909","Census Tract 719.09, Maricopa County, Arizona","2090","null","21471","null",
"1400000US04013071910","Census Tract 719.10, Maricopa County, Arizona","2930","null","22192","null",
"1400000US04013071911","Census Tract 719.11, Maricopa County, Arizona","2886","null","22243","null",
"1400000US04013071912","Census Tract 719.12, Maricopa County, Arizona","2537","null","13634","null",
"1400000US04013071913","Census Tract 719.13, Maricopa County, Arizona","3588","null","21053","null",
"1400000US04013071914","Census Tract 719.14, Maricopa County, Arizona","2538","null","16109","null",
"1400000US04013071915","Census Tract 719.15, Maricopa County, Arizona","2857","null","18704","null",
"1400000US04013082002","Census Tract 820.02, Maricopa County, Arizona","1907","null","20003","null",
"1400000US04013082007","Census Tract 820.07, Maricopa County, Arizona","2725","null","17972","null",
"1400000US04013082008","Census Tract 820.08, Maricopa County, Arizona","3913","null","18023","null",
"1400000US04013082009","Census Tract 820.09, Maricopa County, Arizona","2208","null","13474","null",
"1400000US04013082010","Census Tract 820.10, Maricopa County, Arizona","1126","null","11792","null",
"1400000US04013082012","Census Tract 820.12, Maricopa County, Arizona","2328","null","18972","null",
"1400000US04013082016","Census Tract 820.16, Maricopa County, Arizona","3552","null","18601","null",
"1400000US04013082017","Census Tract 820.17, Maricopa County, Arizona","4063","null","21451","null",
"1400000US04013082018","Census Tract 820.18, Maricopa County, Arizona","1962","null","15458","null",
"1400000US04013082019","Census Tract 820.19, Maricopa County, Arizona","10600","null","35492","null",
"1400000US04013082020","Census Tract 820.20, Maricopa County, Arizona","5721","null","30754","null",
"1400000US04013082021","Census Tract 820.21, Maricopa County, Arizona","4327","null","23819","null",
"1400000US04013082022","Census Tract 820.22, Maricopa County, Arizona","2612","null","16742","null",
"1400000US04013082023","Census Tract 820.23, Maricopa County, Arizona","3498","null","25901","null",
"1400000US04013082024","Census Tract 820.24, Maricopa County, Arizona","4808","null","22979","null",
"1400000US04013082025","Census Tract 820.25, Maricopa County, Arizona","5257","null","24362","null",
"1400000US04013082026","Census Tract 820.26, Maricopa County, Arizona","2517","null","22383","null",
"1400000US04013082027","Census Tract 820.27, Maricopa County, Arizona","3464","null","22526","null",
"1400000US04013082028","Census Tract 820.28, Maricopa County, Arizona","1775","null","12700","null",
"1400000US04013082203","Census Tract 822.03, Maricopa County, Arizona","1633","null","19790","null",
"1400000US04013082204","Census Tract 822.04, Maricopa County, Arizona","2233","null","15851","null",
"1400000US04013082205","Census Tract 822.05, Maricopa County, Arizona","2325","null","17967","null",
"1400000US04013082206","Census Tract 822.06, Maricopa County, Arizona","2150","null","16173","null",
"1400000US04013082207","Census Tract 822.07, Maricopa County, Arizona","3037","null","21140","null",
"1400000US04013082208","Census Tract 822.08, Maricopa County, Arizona","2015","null","12020","null",
"1400000US04013082209","Census Tract 822.09, Maricopa County, Arizona","1420","null","10273","null",
"1400000US04013082210","Census Tract 822.10, Maricopa County, Arizona","1850","null","19245","null",
"1400000US04013082211","Census Tract 822.11, Maricopa County, Arizona","2379","null","20405","null",
"1400000US04013083000","Census Tract 830, Maricopa County, Arizona","1522","null","12046","null",
"1400000US04013092305","Census Tract 923.05, Maricopa County, Arizona","2558","null","22419","null",
"1400000US04013092306","Census Tract 923.06, Maricopa County, Arizona","2622","null","23970","null",
"1400000US04013092307","Census Tract 923.07, Maricopa County, Arizona","2028","null","23866","null",
"1400000US04013092308","Census Tract 923.08, Maricopa County, Arizona","2189","null","21908","null",
"1400000US04013092309","Census Tract 923.09, Maricopa County, Arizona","2623","null","27380","null",
"1400000US04013092311","Census Tract 923.11, Maricopa County, Arizona","2756","null","15544","null",
"1400000US04013092312","Census Tract 923.12, Maricopa County, Arizona","2909","null","19878","null",
"1400000US04013092401","Census Tract 924.01, Maricopa County, Arizona","2138","null","17786","null",
"1400000US04013092402","Census Tract 924.02, Maricopa County, Arizona","3496","null","21721","null",
"1400000US04013092500","Census Tract 925, Maricopa County, Arizona","2619","null","18367","null",
"1400000US04013092600","Census Tract 926, Maricopa County, Arizona","2388","null","12501","null",
"1400000US04013092705","Census Tract 927.05, Maricopa County, Arizona","2421","null","17958","null",
"1400000US04013092708","Census Tract 927.08, Maricopa County, Arizona","5563","null","25145","null",
"1400000US04013092709","Census Tract 927.09, Maricopa County, Arizona","2255","null","21990","null",
"1400000US04013092710","Census Tract 927.10, Maricopa County, Arizona","3280","null","25120","null",
"1400000US04013092711","Census Tract 927.11, Maricopa County, Arizona","3262","null","17406","null",
"1400000US04013092712","Census Tract 927.12, Maricopa County, Arizona","2517","null","20621","null",
"1400000US04013092713","Census Tract 927.13, Maricopa County, Arizona","3957","null","22361","null",
"1400000US04013092715","Census Tract 927.15, Maricopa County, Arizona","2048","null","15084","null",
"1400000US04013092716","Census Tract 927.16, Maricopa County, Arizona","3351","null","19050","null",
"1400000US04013092717","Census Tract 927.17, Maricopa County, Arizona","4275","null","17572","null",
"1400000US04013092718","Census Tract 927.18, Maricopa County, Arizona","3575","null","15389","null",
"1400000US04013092719","Census Tract 927.19, Maricopa County, Arizona","2907","null","21007","null",
"1400000US04013092720","Census Tract 927.20, Maricopa County, Arizona","5411","null","22286","null",
"1400000US04013092721","Census Tract 927.21, Maricopa County, Arizona","3867","null","27721","null",
"1400000US04013092723","Census Tract 927.23, Maricopa County, Arizona","3614","null","24535","null",
"1400000US04013092724","Census Tract 927.24, Maricopa County, Arizona","3185","null","21736","null",
"1400000US04013092801","Census Tract 928.01, Maricopa County, Arizona","1579","null","8962","null",
"1400000US04013092802","Census Tract 928.02, Maricopa County, Arizona","1540","null","9940","null",
"1400000US04013092900","Census Tract 929, Maricopa County, Arizona","1604","null","10207","null",
"1400000US04013093001","Census Tract 930.01, Maricopa County, Arizona","2774","null","14916","null",
"1400000US04013093002","Census Tract 930.02, Maricopa County, Arizona","1835","null","11675","null",
"1400000US04013093101","Census Tract 931.01, Maricopa County, Arizona","2319","null","13125","null",
"1400000US04013093104","Census Tract 931.04, Maricopa County, Arizona","1162","null","10118","null",
"1400000US04013093105","Census Tract 931.05, Maricopa County, Arizona","2846","null","14284","null",
"1400000US04013093106","Census Tract 931.06, Maricopa County, Arizona","4348","null","18495","null",
"1400000US04013093200","Census Tract 932, Maricopa County, Arizona","2764","null","16549","null",
"1400000US04013103205","Census Tract 1032.05, Maricopa County, Arizona","4590","null","34979","null",
"1400000US04013103206","Census Tract 1032.06, Maricopa County, Arizona","5642","null","38004","null",
"1400000US04013103207","Census Tract 1032.07, Maricopa County, Arizona","5001","null","42067","null",
"1400000US04013103208","Census Tract 1032.08, Maricopa County, Arizona","7257","null","42734","null",
"1400000US04013103209","Census Tract 1032.09, Maricopa County, Arizona","9514","null","58334","null",
"1400000US04013103210","Census Tract 1032.10, Maricopa County, Arizona","3010","null","23874","null",
"1400000US04013103211","Census Tract 1032.11, Maricopa County, Arizona","5217","null","37196","null",
"1400000US04013103212","Census Tract 1032.12, Maricopa County, Arizona","5013","null","38632","null",
"1400000US04013103214","Census Tract 1032.14, Maricopa County, Arizona","3861","null","37669","null",
"1400000US04013103215","Census Tract 1032.15, Maricopa County, Arizona","4406","null","34428","null",
"1400000US04013103216","Census Tract 1032.16, Maricopa County, Arizona","4269","null","37707","null",
"1400000US04013103217","Census Tract 1032.17, Maricopa County, Arizona","5281","null","37435","null",
"1400000US04013103219","Census Tract 1032.19, Maricopa County, Arizona","10012","null","47574","null",
"1400000US04013103220","Census Tract 1032.20, Maricopa County, Arizona","5526","null","51148","null",
"1400000US04013103302","Census Tract 1033.02, Maricopa County, Arizona","6782","null","23536","null",
"1400000US04013103303","Census Tract 1033.03, Maricopa County, Arizona","2999","null","29258","null",
"1400000US04013103304","Census Tract 1033.04, Maricopa County, Arizona","1365","null","11983","null",
"1400000US04013103305","Census Tract 1033.05, Maricopa County, Arizona","3776","null","12947","null",
"1400000US04013103306","Census Tract 1033.06, Maricopa County, Arizona","2132","null","11311","null",
"1400000US04013103400","Census Tract 1034, Maricopa County, Arizona","2100","null","24359","null",
"1400000US04013103501","Census Tract 1035.01, Maricopa County, Arizona","4865","null","30892","null",
"1400000US04013103502","Census Tract 1035.02, Maricopa County, Arizona","3265","null","26973","null",
"1400000US04013103604","Census Tract 1036.04, Maricopa County, Arizona","7398","null","33381","null",
"1400000US04013103605","Census Tract 1036.05, Maricopa County, Arizona","8412","null","58347","null",
"1400000US04013103606","Census Tract 1036.06, Maricopa County, Arizona","4092","null","30401","null",
"1400000US04013103607","Census Tract 1036.07, Maricopa County, Arizona","5023","null","41863","null",
