"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"1400000US04012020202","Census Tract 202.02, La Paz County, Arizona","39334","null","5958","null",
"1400000US04012020501","Census Tract 205.01, La Paz County, Arizona","21720","null","4233","null",
"1400000US04012020502","Census Tract 205.02, La Paz County, Arizona","24804","null","4455","null",
"1400000US04012020602","Census Tract 206.02, La Paz County, Arizona","24798","null","6211","null",
"1400000US04012940200","Census Tract 9402, La Paz County, Arizona","23122","null","5997","null",
"1400000US04012940300","Census Tract 9403, La Paz County, Arizona","14878","null","1730","null",
"1400000US04012980000","Census Tract 9800, La Paz County, Arizona","-","-","**","**",
"1400000US04013010101","Census Tract 101.01, Maricopa County, Arizona","55571","null","7401","null",
"1400000US04013010102","Census Tract 101.02, Maricopa County, Arizona","94059","null","16159","null",
"1400000US04013030401","Census Tract 304.01, Maricopa County, Arizona","77265","null","13494","null",
"1400000US04013030402","Census Tract 304.02, Maricopa County, Arizona","53979","null","6793","null",
"1400000US04013040502","Census Tract 405.02, Maricopa County, Arizona","30370","null","7279","null",
"1400000US04013040506","Census Tract 405.06, Maricopa County, Arizona","33293","null","4986","null",
"1400000US04013040507","Census Tract 405.07, Maricopa County, Arizona","39161","null","7085","null",
"1400000US04013040512","Census Tract 405.12, Maricopa County, Arizona","35678","null","3843","null",
"1400000US04013040513","Census Tract 405.13, Maricopa County, Arizona","36853","null","3171","null",
"1400000US04013040514","Census Tract 405.14, Maricopa County, Arizona","35389","null","2320","null",
"1400000US04013040515","Census Tract 405.15, Maricopa County, Arizona","26142","null","3306","null",
"1400000US04013040516","Census Tract 405.16, Maricopa County, Arizona","36882","null","4041","null",
"1400000US04013040517","Census Tract 405.17, Maricopa County, Arizona","26241","null","3837","null",
"1400000US04013040518","Census Tract 405.18, Maricopa County, Arizona","28534","null","3385","null",
"1400000US04013040519","Census Tract 405.19, Maricopa County, Arizona","51555","null","5761","null",
"1400000US04013040520","Census Tract 405.20, Maricopa County, Arizona","43576","null","5624","null",
"1400000US04013040521","Census Tract 405.21, Maricopa County, Arizona","29197","null","3238","null",
"1400000US04013040522","Census Tract 405.22, Maricopa County, Arizona","39370","null","7008","null",
"1400000US04013040523","Census Tract 405.23, Maricopa County, Arizona","44210","null","4589","null",
"1400000US04013040524","Census Tract 405.24, Maricopa County, Arizona","41824","null","3370","null",
"1400000US04013040525","Census Tract 405.25, Maricopa County, Arizona","42485","null","3065","null",
"1400000US04013040526","Census Tract 405.26, Maricopa County, Arizona","41933","null","6715","null",
"1400000US04013040527","Census Tract 405.27, Maricopa County, Arizona","29231","null","3567","null",
"1400000US04013040528","Census Tract 405.28, Maricopa County, Arizona","42917","null","4231","null",
"1400000US04013040529","Census Tract 405.29, Maricopa County, Arizona","41892","null","3813","null",
"1400000US04013040530","Census Tract 405.30, Maricopa County, Arizona","24270","null","2416","null",
"1400000US04013040531","Census Tract 405.31, Maricopa County, Arizona","30566","null","3284","null",
"1400000US04013050603","Census Tract 506.03, Maricopa County, Arizona","18266","null","1824","null",
"1400000US04013050604","Census Tract 506.04, Maricopa County, Arizona","17828","null","2327","null",
"1400000US04013050605","Census Tract 506.05, Maricopa County, Arizona","27732","null","4088","null",
"1400000US04013050606","Census Tract 506.06, Maricopa County, Arizona","35937","null","4654","null",
"1400000US04013050607","Census Tract 506.07, Maricopa County, Arizona","18797","null","1741","null",
"1400000US04013050608","Census Tract 506.08, Maricopa County, Arizona","20767","null","2268","null",
"1400000US04013050609","Census Tract 506.09, Maricopa County, Arizona","22875","null","1995","null",
"1400000US04013050610","Census Tract 506.10, Maricopa County, Arizona","21531","null","1803","null",
"1400000US04013050611","Census Tract 506.11, Maricopa County, Arizona","20073","null","3278","null",
"1400000US04013050701","Census Tract 507.01, Maricopa County, Arizona","18383","null","2417","null",
"1400000US04013050702","Census Tract 507.02, Maricopa County, Arizona","15474","null","1622","null",
"1400000US04013060801","Census Tract 608.01, Maricopa County, Arizona","15388","null","2146","null",
"1400000US04013060802","Census Tract 608.02, Maricopa County, Arizona","19004","null","1772","null",
"1400000US04013060901","Census Tract 609.01, Maricopa County, Arizona","19689","null","2224","null",
"1400000US04013060902","Census Tract 609.02, Maricopa County, Arizona","11974","null","1483","null",
"1400000US04013060903","Census Tract 609.03, Maricopa County, Arizona","14953","null","2303","null",
"1400000US04013060904","Census Tract 609.04, Maricopa County, Arizona","17912","null","2006","null",
"1400000US04013061009","Census Tract 610.09, Maricopa County, Arizona","39682","null","4898","null",
"1400000US04013061010","Census Tract 610.10, Maricopa County, Arizona","41513","null","5123","null",
"1400000US04013061011","Census Tract 610.11, Maricopa County, Arizona","23399","null","2591","null",
"1400000US04013061012","Census Tract 610.12, Maricopa County, Arizona","33051","null","3972","null",
"1400000US04013061013","Census Tract 610.13, Maricopa County, Arizona","30578","null","2417","null",
"1400000US04013061014","Census Tract 610.14, Maricopa County, Arizona","25460","null","2207","null",
"1400000US04013061015","Census Tract 610.15, Maricopa County, Arizona","31001","null","3799","null",
"1400000US04013061016","Census Tract 610.16, Maricopa County, Arizona","36011","null","3820","null",
"1400000US04013061017","Census Tract 610.17, Maricopa County, Arizona","3222","null","1350","null",
"1400000US04013061018","Census Tract 610.18, Maricopa County, Arizona","45981","null","3632","null",
"1400000US04013061019","Census Tract 610.19, Maricopa County, Arizona","23705","null","1914","null",
"1400000US04013061020","Census Tract 610.20, Maricopa County, Arizona","35097","null","4622","null",
"1400000US04013061021","Census Tract 610.21, Maricopa County, Arizona","26511","null","3395","null",
"1400000US04013061022","Census Tract 610.22, Maricopa County, Arizona","24419","null","3311","null",
"1400000US04013061023","Census Tract 610.23, Maricopa County, Arizona","26902","null","2513","null",
"1400000US04013061024","Census Tract 610.24, Maricopa County, Arizona","19430","null","2615","null",
"1400000US04013061025","Census Tract 610.25, Maricopa County, Arizona","26468","null","1888","null",
"1400000US04013061026","Census Tract 610.26, Maricopa County, Arizona","23836","null","2357","null",
"1400000US04013061027","Census Tract 610.27, Maricopa County, Arizona","25885","null","2746","null",
"1400000US04013061028","Census Tract 610.28, Maricopa County, Arizona","27430","null","4248","null",
"1400000US04013061029","Census Tract 610.29, Maricopa County, Arizona","26128","null","2228","null",
"1400000US04013061030","Census Tract 610.30, Maricopa County, Arizona","32388","null","8517","null",
"1400000US04013061031","Census Tract 610.31, Maricopa County, Arizona","25530","null","3353","null",
"1400000US04013061032","Census Tract 610.32, Maricopa County, Arizona","23382","null","2034","null",
"1400000US04013061033","Census Tract 610.33, Maricopa County, Arizona","22865","null","2875","null",
"1400000US04013061034","Census Tract 610.34, Maricopa County, Arizona","24559","null","4261","null",
"1400000US04013061035","Census Tract 610.35, Maricopa County, Arizona","26898","null","2767","null",
"1400000US04013061036","Census Tract 610.36, Maricopa County, Arizona","28203","null","2757","null",
"1400000US04013061037","Census Tract 610.37, Maricopa County, Arizona","31425","null","5141","null",
"1400000US04013061038","Census Tract 610.38, Maricopa County, Arizona","27505","null","2616","null",
"1400000US04013061039","Census Tract 610.39, Maricopa County, Arizona","25989","null","3439","null",
"1400000US04013061040","Census Tract 610.40, Maricopa County, Arizona","23818","null","2705","null",
"1400000US04013061041","Census Tract 610.41, Maricopa County, Arizona","20319","null","1819","null",
"1400000US04013061042","Census Tract 610.42, Maricopa County, Arizona","22432","null","2382","null",
"1400000US04013061043","Census Tract 610.43, Maricopa County, Arizona","25062","null","4430","null",
"1400000US04013061044","Census Tract 610.44, Maricopa County, Arizona","30039","null","2429","null",
"1400000US04013061045","Census Tract 610.45, Maricopa County, Arizona","36704","null","3731","null",
"1400000US04013061046","Census Tract 610.46, Maricopa County, Arizona","23790","null","2350","null",
"1400000US04013061047","Census Tract 610.47, Maricopa County, Arizona","37337","null","4052","null",
"1400000US04013061100","Census Tract 611, Maricopa County, Arizona","17731","null","1581","null",
"1400000US04013061200","Census Tract 612, Maricopa County, Arizona","13015","null","1576","null",
"1400000US04013061300","Census Tract 613, Maricopa County, Arizona","20562","null","3762","null",
"1400000US04013061401","Census Tract 614.01, Maricopa County, Arizona","11862","null","2145","null",
"1400000US04013061402","Census Tract 614.02, Maricopa County, Arizona","11829","null","1474","null",
"1400000US04013071503","Census Tract 715.03, Maricopa County, Arizona","30179","null","2638","null",
"1400000US04013071504","Census Tract 715.04, Maricopa County, Arizona","31196","null","2663","null",
"1400000US04013071505","Census Tract 715.05, Maricopa County, Arizona","29326","null","3113","null",
"1400000US04013071506","Census Tract 715.06, Maricopa County, Arizona","28835","null","2681","null",
"1400000US04013071509","Census Tract 715.09, Maricopa County, Arizona","32743","null","4244","null",
"1400000US04013071510","Census Tract 715.10, Maricopa County, Arizona","37919","null","3065","null",
"1400000US04013071511","Census Tract 715.11, Maricopa County, Arizona","31866","null","4164","null",
"1400000US04013071512","Census Tract 715.12, Maricopa County, Arizona","33044","null","3798","null",
"1400000US04013071513","Census Tract 715.13, Maricopa County, Arizona","48746","null","12756","null",
"1400000US04013071514","Census Tract 715.14, Maricopa County, Arizona","33153","null","4519","null",
"1400000US04013071515","Census Tract 715.15, Maricopa County, Arizona","34727","null","2877","null",
"1400000US04013071516","Census Tract 715.16, Maricopa County, Arizona","26699","null","2320","null",
"1400000US04013071517","Census Tract 715.17, Maricopa County, Arizona","26544","null","2605","null",
"1400000US04013071600","Census Tract 716, Maricopa County, Arizona","19033","null","6037","null",
"1400000US04013071701","Census Tract 717.01, Maricopa County, Arizona","21497","null","1851","null",
