"GEO_ID","NAME","B19301_001E","B19301_001M","B19301_001MA","B19301_001EA",
"1400000US04013061036","Census Tract 610.36, Maricopa County, Arizona","21241","3971","null","null",
"1400000US04013061037","Census Tract 610.37, Maricopa County, Arizona","26009","4945","null","null",
"1400000US04013061038","Census Tract 610.38, Maricopa County, Arizona","25495","3525","null","null",
"1400000US04013061039","Census Tract 610.39, Maricopa County, Arizona","27160","5601","null","null",
"1400000US04013061040","Census Tract 610.40, Maricopa County, Arizona","18329","2290","null","null",
"1400000US04013061041","Census Tract 610.41, Maricopa County, Arizona","16031","2451","null","null",
"1400000US04013061042","Census Tract 610.42, Maricopa County, Arizona","22519","4796","null","null",
"1400000US04013061043","Census Tract 610.43, Maricopa County, Arizona","27940","7268","null","null",
"1400000US04013061044","Census Tract 610.44, Maricopa County, Arizona","23808","2498","null","null",
"1400000US04013061045","Census Tract 610.45, Maricopa County, Arizona","30400","3711","null","null",
"1400000US04013061046","Census Tract 610.46, Maricopa County, Arizona","26158","2940","null","null",
"1400000US04013061047","Census Tract 610.47, Maricopa County, Arizona","30388","2414","null","null",
"1400000US04013061100","Census Tract 611, Maricopa County, Arizona","16509","1782","null","null",
"1400000US04013061200","Census Tract 612, Maricopa County, Arizona","13727","2209","null","null",
"1400000US04013061300","Census Tract 613, Maricopa County, Arizona","19290","3348","null","null",
"1400000US04013061401","Census Tract 614.01, Maricopa County, Arizona","10649","2513","null","null",
"1400000US04013061402","Census Tract 614.02, Maricopa County, Arizona","12081","2230","null","null",
"1400000US04013071503","Census Tract 715.03, Maricopa County, Arizona","29115","2182","null","null",
"1400000US04013071504","Census Tract 715.04, Maricopa County, Arizona","27500","2330","null","null",
"1400000US04013071505","Census Tract 715.05, Maricopa County, Arizona","26386","1788","null","null",
"1400000US04013071506","Census Tract 715.06, Maricopa County, Arizona","28251","2390","null","null",
"1400000US04013071509","Census Tract 715.09, Maricopa County, Arizona","31182","3620","null","null",
"1400000US04013071510","Census Tract 715.10, Maricopa County, Arizona","34213","2568","null","null",
"1400000US04013071511","Census Tract 715.11, Maricopa County, Arizona","27909","5635","null","null",
"1400000US04013071512","Census Tract 715.12, Maricopa County, Arizona","31714","3021","null","null",
"1400000US04013071513","Census Tract 715.13, Maricopa County, Arizona","41627","4426","null","null",
"1400000US04013071514","Census Tract 715.14, Maricopa County, Arizona","31341","4730","null","null",
"1400000US04013071515","Census Tract 715.15, Maricopa County, Arizona","31719","3137","null","null",
"1400000US04013071516","Census Tract 715.16, Maricopa County, Arizona","26051","2806","null","null",
"1400000US04013071517","Census Tract 715.17, Maricopa County, Arizona","28521","2840","null","null",
"1400000US04013071600","Census Tract 716, Maricopa County, Arizona","16179","2495","null","null",
"1400000US04013071701","Census Tract 717.01, Maricopa County, Arizona","20351","2711","null","null",
"1400000US04013071702","Census Tract 717.02, Maricopa County, Arizona","24281","2068","null","null",
"1400000US04013071801","Census Tract 718.01, Maricopa County, Arizona","22899","2762","null","null",
"1400000US04013071802","Census Tract 718.02, Maricopa County, Arizona","25846","2216","null","null",
"1400000US04013071903","Census Tract 719.03, Maricopa County, Arizona","23672","2169","null","null",
"1400000US04013071906","Census Tract 719.06, Maricopa County, Arizona","21295","2742","null","null",
"1400000US04013071909","Census Tract 719.09, Maricopa County, Arizona","20713","2380","null","null",
"1400000US04013071910","Census Tract 719.10, Maricopa County, Arizona","17154","2989","null","null",
