"GEO_ID","NAME","B19001F_001E","B19001F_001EA","B19001F_001M","B19001F_001MA","B19001F_002E","B19001F_002EA","B19001F_002M","B19001F_002MA","B19001F_003E","B19001F_003M","B19001F_003MA","B19001F_003EA","B19001F_004E","B19001F_004EA","B19001F_004M","B19001F_004MA","B19001F_005E","B19001F_005EA","B19001F_005M","B19001F_005MA","B19001F_006E","B19001F_006EA","B19001F_006M","B19001F_006MA","B19001F_007E","B19001F_007M","B19001F_007MA","B19001F_007EA","B19001F_008E","B19001F_008EA","B19001F_008M","B19001F_008MA","B19001F_009E","B19001F_009EA","B19001F_009M","B19001F_009MA","B19001F_010E","B19001F_010EA","B19001F_010M","B19001F_010MA","B19001F_011E","B19001F_011EA","B19001F_011M","B19001F_011MA","B19001F_012E","B19001F_012EA","B19001F_012M","B19001F_012MA","B19001F_013E","B19001F_013EA","B19001F_013M","B19001F_013MA","B19001F_014E","B19001F_014EA","B19001F_014M","B19001F_014MA","B19001F_015E","B19001F_015EA","B19001F_015M","B19001F_015MA","B19001F_016E","B19001F_016EA","B19001F_016M","B19001F_016MA","B19001F_017E","B19001F_017EA","B19001F_017M","B19001F_017MA",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","10","null","11","null","7","null","11","null","0","13","null","null","0","null","13","null","0","null","13","null","3","null","5","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","3","null","4","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","3","null","4","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001970201","Census Tract 9702.01, Apache County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001970202","Census Tract 9702.02, Apache County, Arizona","21","null","32","null","21","null","32","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","77","null","77","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","7","null","13","null","0","13","null","null","8","null","16","null","0","null","13","null","0","null","13","null","38","null","60","null","0","null","13","null","0","null","13","null","6","null","12","null","0","null","13","null","18","null","34","null","0","null","13","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","10","null","10","null","1","null","4","null","0","13","null","null","0","null","13","null","0","null","13","null","6","null","9","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","3","null","5","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","64","null","48","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","9","15","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","6","null","12","null","29","null","28","null","2","null","4","null","0","null","13","null","18","null","30","null","0","null","13","null",
"1400000US04003000101","Census Tract 1.01, Cochise County, Arizona","28","null","14","null","0","null","13","null","0","13","null","null","0","null","13","null","7","null","9","null","0","null","13","null","0","13","null","null","3","null","4","null","3","null","4","null","0","null","13","null","5","null","6","null","3","null","4","null","7","null","8","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000102","Census Tract 1.02, Cochise County, Arizona","2","null","3","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","2","null","3","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","37","null","31","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","9","null","15","null","0","null","13","null","0","null","13","null","0","null","13","null","9","null","14","null","19","null","24","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","42","null","38","null","9","null","13","null","0","13","null","null","12","null","20","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","8","null","13","null","13","null","23","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","16","null","18","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","16","null","18","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","120","null","85","null","0","null","13","null","46","53","null","null","0","null","13","null","0","null","13","null","0","null","13","null","12","19","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","62","null","76","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","39","null","41","null","0","null","13","null","0","13","null","null","39","null","41","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000304","Census Tract 3.04, Cochise County, Arizona","19","null","31","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","19","31","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000305","Census Tract 3.05, Cochise County, Arizona","19","null","30","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","19","null","30","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","9","null","11","null","0","null","13","null","6","11","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","3","null","4","null","0","null","13","null","0","null","13","null",
"1400000US04003000501","Census Tract 5.01, Cochise County, Arizona","3","null","4","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","3","null","4","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000502","Census Tract 5.02, Cochise County, Arizona","3","null","6","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","3","null","6","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000503","Census Tract 5.03, Cochise County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","20","null","33","null","0","null","13","null","0","13","null","null","20","null","33","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","169","null","89","null","9","null","14","null","0","13","null","null","6","null","10","null","0","null","13","null","0","null","13","null","0","13","null","null","26","null","28","null","3","null","5","null","8","null","13","null","21","null","32","null","8","null","14","null","70","null","61","null","0","null","13","null","0","null","13","null","18","null","24","null","0","null","13","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","202","null","95","null","11","null","16","null","19","24","null","null","0","null","13","null","0","null","13","null","63","null","75","null","13","21","null","null","0","null","13","null","0","null","13","null","0","null","13","null","7","null","10","null","14","null","22","null","56","null","58","null","8","null","12","null","0","null","13","null","0","null","13","null","11","null","17","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","122","null","59","null","8","null","13","null","15","19","null","null","10","null","18","null","0","null","13","null","10","null","15","null","32","29","null","null","0","null","13","null","24","null","26","null","0","null","13","null","23","null","35","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","56","null","47","null","0","null","13","null","1","2","null","null","0","null","13","null","11","null","16","null","25","null","38","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","13","null","21","null","0","null","13","null","1","null","6","null","5","null","8","null","0","null","13","null","0","null","13","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","17","null","25","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","17","null","25","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","40","null","29","null","5","null","9","null","0","13","null","null","0","null","13","null","7","null","12","null","0","null","13","null","0","13","null","null","8","null","14","null","3","null","5","null","0","null","13","null","9","null","14","null","3","null","7","null","5","null","8","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","54","null","45","null","0","null","13","null","22","28","null","null","0","null","13","null","0","null","13","null","4","null","7","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","3","null","6","null","5","null","9","null","20","null","31","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001301","Census Tract 13.01, Cochise County, Arizona","33","null","42","null","0","null","13","null","0","13","null","null","0","null","13","null","12","null","20","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","21","null","37","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001302","Census Tract 13.02, Cochise County, Arizona","24","null","28","null","3","null","5","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","8","null","13","null","13","null","20","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","7","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","7","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","9","null","16","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","9","16","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","66","null","59","null","0","null","13","null","0","13","null","null","0","null","13","null","25","null","38","null","0","null","13","null","0","13","null","null","0","null","13","null","6","null","10","null","7","null","14","null","28","null","36","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","111","null","116","null","0","null","13","null","66","102","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","45","null","51","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","58","null","33","null","0","null","13","null","18","21","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","24","null","32","null","0","null","13","null","0","null","13","null","0","null","13","null","16","null","25","null","0","null","13","null","0","null","13","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","48","null","61","null","17","null","28","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","31","null","57","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","73","null","89","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","17","null","33","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","56","null","83","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001801","Census Tract 18.01, Cochise County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001802","Census Tract 18.02, Cochise County, Arizona","27","null","47","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","27","null","47","null","0","null","13","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","35","null","46","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","10","null","16","null","25","null","44","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","15","null","28","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","15","null","28","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","13","null","23","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","13","null","23","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","14","null","22","null","0","null","13","null","14","22","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","37","null","40","null","0","null","13","null","0","13","null","null","0","null","13","null","7","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","17","null","30","null","0","null","13","null","13","null","21","null","0","null","13","null","0","null","13","null",
"1400000US04005000301","Census Tract 3.01, Coconino County, Arizona","103","null","94","null","0","null","13","null","0","13","null","null","31","null","48","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","72","null","86","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04005000302","Census Tract 3.02, Coconino County, Arizona","45","null","61","null","0","null","13","null","0","13","null","null","0","null","13","null","45","null","61","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","75","null","97","null","0","null","19","null","3","7","null","null","0","null","19","null","5","null","9","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","4","null","7","null","63","null","96","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","156","null","116","null","0","null","13","null","21","30","null","null","0","null","13","null","0","null","13","null","12","null","21","null","10","16","null","null","0","null","13","null","0","null","13","null","11","null","19","null","27","null","55","null","0","null","13","null","32","null","42","null","0","null","13","null","0","null","13","null","43","null","68","null","0","null","13","null",
"1400000US04005000601","Census Tract 6.01, Coconino County, Arizona","16","null","25","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","16","null","25","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04005000602","Census Tract 6.02, Coconino County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","5","null","8","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","5","null","8","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","35","null","36","null","0","null","19","null","0","19","null","null","10","null","18","null","0","null","19","null","0","null","19","null","0","19","null","null","12","null","23","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","13","null","22","null","0","null","19","null",
