"GEO_ID","NAME","B19013B_001M","B19013B_001MA","B19013B_001E","B19013B_001EA",
"1400000US04013104221","Census Tract 1042.21, Maricopa County, Arizona","61381","null","40682","null",
"1400000US04013104222","Census Tract 1042.22, Maricopa County, Arizona","14627","null","48214","null",
"1400000US04013104223","Census Tract 1042.23, Maricopa County, Arizona","97867","null","125417","null",
"1400000US04013104224","Census Tract 1042.24, Maricopa County, Arizona","**","**","-","-",
"1400000US04013104225","Census Tract 1042.25, Maricopa County, Arizona","50992","null","59318","null",
"1400000US04013104226","Census Tract 1042.26, Maricopa County, Arizona","**","**","-","-",
"1400000US04013104227","Census Tract 1042.27, Maricopa County, Arizona","8134","null","15455","null",
"1400000US04013104301","Census Tract 1043.01, Maricopa County, Arizona","17825","null","23417","null",
"1400000US04013104302","Census Tract 1043.02, Maricopa County, Arizona","21666","null","32594","null",
"1400000US04013104401","Census Tract 1044.01, Maricopa County, Arizona","1085","null","19000","null",
"1400000US04013104402","Census Tract 1044.02, Maricopa County, Arizona","44917","null","30862","null",
"1400000US04013104501","Census Tract 1045.01, Maricopa County, Arizona","38909","null","9338","null",
"1400000US04013104502","Census Tract 1045.02, Maricopa County, Arizona","55734","null","40662","null",
"1400000US04013104600","Census Tract 1046, Maricopa County, Arizona","27467","null","21400","null",
"1400000US04013104701","Census Tract 1047.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013104702","Census Tract 1047.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013104801","Census Tract 1048.01, Maricopa County, Arizona","60597","null","80476","null",
"1400000US04013104802","Census Tract 1048.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013104900","Census Tract 1049, Maricopa County, Arizona","***","***","250,000+","250,000+",
"1400000US04013105002","Census Tract 1050.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013105003","Census Tract 1050.03, Maricopa County, Arizona","**","**","-","-",
"1400000US04013105004","Census Tract 1050.04, Maricopa County, Arizona","**","**","-","-",
"1400000US04013105101","Census Tract 1051.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013105102","Census Tract 1051.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013105103","Census Tract 1051.03, Maricopa County, Arizona","***","***","250,000+","250,000+",
"1400000US04013105200","Census Tract 1052, Maricopa County, Arizona","95724","null","47794","null",
"1400000US04013105300","Census Tract 1053, Maricopa County, Arizona","**","**","-","-",
"1400000US04013105400","Census Tract 1054, Maricopa County, Arizona","**","**","-","-",
"1400000US04013105501","Census Tract 1055.01, Maricopa County, Arizona","64410","null","46103","null",
"1400000US04013105502","Census Tract 1055.02, Maricopa County, Arizona","8081","null","20242","null",
"1400000US04013105503","Census Tract 1055.03, Maricopa County, Arizona","6065","null","15565","null",
"1400000US04013105601","Census Tract 1056.01, Maricopa County, Arizona","**","**","-","-",
