"GEO_ID","NAME","B19013B_001E","B19013B_001EA","B19013B_001M","B19013B_001MA",
"1400000US04013071517","Census Tract 715.17, Maricopa County, Arizona","42708","null","18769","null",
"1400000US04013071600","Census Tract 716, Maricopa County, Arizona","18125","null","7362","null",
"1400000US04013071701","Census Tract 717.01, Maricopa County, Arizona","-","-","**","**",
"1400000US04013071702","Census Tract 717.02, Maricopa County, Arizona","-","-","**","**",
"1400000US04013071801","Census Tract 718.01, Maricopa County, Arizona","36016","null","10944","null",
"1400000US04013071802","Census Tract 718.02, Maricopa County, Arizona","null","null","null","null",
"1400000US04013071903","Census Tract 719.03, Maricopa County, Arizona","null","null","null","null",
"1400000US04013071906","Census Tract 719.06, Maricopa County, Arizona","16694","null","11246","null",
"1400000US04013071909","Census Tract 719.09, Maricopa County, Arizona","33281","null","27347","null",
"1400000US04013071910","Census Tract 719.10, Maricopa County, Arizona","-","-","**","**",
"1400000US04013071911","Census Tract 719.11, Maricopa County, Arizona","46994","null","2645","null",
"1400000US04013071912","Census Tract 719.12, Maricopa County, Arizona","null","null","null","null",
"1400000US04013071913","Census Tract 719.13, Maricopa County, Arizona","42045","null","36141","null",
"1400000US04013071914","Census Tract 719.14, Maricopa County, Arizona","-","-","**","**",
"1400000US04013071915","Census Tract 719.15, Maricopa County, Arizona","18384","null","13460","null",
"1400000US04013082002","Census Tract 820.02, Maricopa County, Arizona","null","null","null","null",
"1400000US04013082007","Census Tract 820.07, Maricopa County, Arizona","null","null","null","null",
"1400000US04013082008","Census Tract 820.08, Maricopa County, Arizona","29375","null","2440","null",
"1400000US04013082009","Census Tract 820.09, Maricopa County, Arizona","44014","null","31159","null",
"1400000US04013082010","Census Tract 820.10, Maricopa County, Arizona","null","null","null","null",
"1400000US04013082012","Census Tract 820.12, Maricopa County, Arizona","61653","null","11870","null",
"1400000US04013082016","Census Tract 820.16, Maricopa County, Arizona","45938","null","11045","null",
"1400000US04013082017","Census Tract 820.17, Maricopa County, Arizona","57500","null","47993","null",
"1400000US04013082018","Census Tract 820.18, Maricopa County, Arizona","null","null","null","null",
"1400000US04013082019","Census Tract 820.19, Maricopa County, Arizona","128208","null","17246","null",
"1400000US04013082020","Census Tract 820.20, Maricopa County, Arizona","88730","null","7910","null",
"1400000US04013082021","Census Tract 820.21, Maricopa County, Arizona","null","null","null","null",
"1400000US04013082022","Census Tract 820.22, Maricopa County, Arizona","50313","null","2808","null",
"1400000US04013082023","Census Tract 820.23, Maricopa County, Arizona","41563","null","7225","null",
"1400000US04013082024","Census Tract 820.24, Maricopa County, Arizona","80556","null","32108","null",
"1400000US04013082025","Census Tract 820.25, Maricopa County, Arizona","null","null","null","null",
"1400000US04013082026","Census Tract 820.26, Maricopa County, Arizona","45833","null","45561","null",
"1400000US04013082027","Census Tract 820.27, Maricopa County, Arizona","63793","null","14308","null",
"1400000US04013082028","Census Tract 820.28, Maricopa County, Arizona","35096","null","25896","null",
"1400000US04013082203","Census Tract 822.03, Maricopa County, Arizona","61452","null","9973","null",
"1400000US04013082204","Census Tract 822.04, Maricopa County, Arizona","25750","null","1750","null",
"1400000US04013082205","Census Tract 822.05, Maricopa County, Arizona","null","null","null","null",
"1400000US04013082206","Census Tract 822.06, Maricopa County, Arizona","null","null","null","null",
"1400000US04013082207","Census Tract 822.07, Maricopa County, Arizona","88646","null","20220","null",
"1400000US04013082208","Census Tract 822.08, Maricopa County, Arizona","52083","null","10439","null",
"1400000US04013082209","Census Tract 822.09, Maricopa County, Arizona","-","-","**","**",
