"GEO_ID","NAME","B19001H_001E","B19001H_001EA","B19001H_001M","B19001H_001MA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004M","B19001H_004MA","B19001H_004EA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010M","B19001H_010MA","B19001H_010EA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014M","B19001H_014MA","B19001H_014EA","B19001H_015E","B19001H_015M","B19001H_015MA","B19001H_015EA","B19001H_016E","B19001H_016M","B19001H_016MA","B19001H_016EA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04013815400","Census Tract 8154, Maricopa County, Arizona","2142","null","177","null","34","34","null","null","75","76","null","null","31","37","null","null","54","null","71","null","45","56","null","null","38","null","58","null","41","38","null","null","16","25","null","null","96","64","null","null","70","55","null","null","72","53","null","null","280","null","121","null","360","140","null","null","310","133","null","null","234","95","null","null","386","127","null","null",
"1400000US04013815500","Census Tract 8155, Maricopa County, Arizona","1580","null","199","null","0","17","null","null","39","61","null","null","0","17","null","null","56","null","40","null","102","65","null","null","94","null","81","null","112","86","null","null","28","32","null","null","33","37","null","null","112","83","null","null","206","116","null","null","207","null","107","null","215","104","null","null","63","58","null","null","119","95","null","null","194","114","null","null",
"1400000US04013815600","Census Tract 8156, Maricopa County, Arizona","1223","null","110","null","0","17","null","null","0","17","null","null","0","17","null","null","7","null","12","null","25","28","null","null","49","null","51","null","43","47","null","null","32","39","null","null","65","61","null","null","80","57","null","null","117","63","null","null","173","null","71","null","121","53","null","null","194","90","null","null","245","115","null","null","72","47","null","null",
"1400000US04013815700","Census Tract 8157, Maricopa County, Arizona","1182","null","108","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","17","null","null","19","null","21","null","9","15","null","null","54","37","null","null","37","28","null","null","104","43","null","null","185","82","null","null","192","null","80","null","145","55","null","null","139","71","null","null","166","73","null","null","132","73","null","null",
"1400000US04013815800","Census Tract 8158, Maricopa County, Arizona","1628","null","106","null","73","41","null","null","46","46","null","null","12","13","null","null","20","null","18","null","39","40","null","null","44","null","31","null","35","25","null","null","109","70","null","null","42","34","null","null","137","67","null","null","125","54","null","null","275","null","106","null","123","67","null","null","187","75","null","null","263","120","null","null","98","45","null","null",
"1400000US04013815900","Census Tract 8159, Maricopa County, Arizona","1886","null","117","null","0","19","null","null","0","19","null","null","0","19","null","null","17","null","24","null","0","19","null","null","50","null","57","null","21","32","null","null","33","42","null","null","0","19","null","null","41","40","null","null","104","70","null","null","306","null","136","null","341","112","null","null","380","124","null","null","279","98","null","null","314","119","null","null",
"1400000US04013816000","Census Tract 8160, Maricopa County, Arizona","3270","null","239","null","133","104","null","null","0","19","null","null","12","18","null","null","28","null","34","null","0","19","null","null","0","null","19","null","28","47","null","null","99","55","null","null","0","19","null","null","222","134","null","null","282","134","null","null","382","null","150","null","421","150","null","null","417","119","null","null","670","189","null","null","576","159","null","null",
"1400000US04013816100","Census Tract 8161, Maricopa County, Arizona","1455","null","132","null","43","51","null","null","32","26","null","null","7","12","null","null","29","null","25","null","9","14","null","null","15","null","18","null","11","17","null","null","33","25","null","null","74","48","null","null","34","45","null","null","144","67","null","null","248","null","74","null","209","73","null","null","216","80","null","null","253","79","null","null","98","63","null","null",
"1400000US04013816200","Census Tract 8162, Maricopa County, Arizona","844","null","95","null","24","25","null","null","0","12","null","null","19","14","null","null","26","null","24","null","18","19","null","null","10","null","15","null","25","36","null","null","18","21","null","null","68","56","null","null","14","16","null","null","114","55","null","null","136","null","72","null","153","61","null","null","75","46","null","null","95","60","null","null","49","30","null","null",
"1400000US04013816300","Census Tract 8163, Maricopa County, Arizona","2250","null","142","null","77","40","null","null","23","21","null","null","78","57","null","null","81","null","42","null","93","40","null","null","39","null","24","null","164","66","null","null","78","35","null","null","100","46","null","null","219","68","null","null","170","60","null","null","354","null","100","null","280","80","null","null","162","58","null","null","198","63","null","null","134","48","null","null",
"1400000US04013816400","Census Tract 8164, Maricopa County, Arizona","1816","null","159","null","48","48","null","null","53","54","null","null","0","17","null","null","15","null","23","null","13","22","null","null","53","null","52","null","46","45","null","null","45","72","null","null","75","79","null","null","108","71","null","null","106","71","null","null","463","null","170","null","213","106","null","null","229","98","null","null","170","87","null","null","179","82","null","null",
"1400000US04013816500","Census Tract 8165, Maricopa County, Arizona","1070","null","96","null","27","44","null","null","0","12","null","null","15","19","null","null","34","null","53","null","7","11","null","null","34","null","22","null","116","74","null","null","23","23","null","null","27","25","null","null","38","52","null","null","35","29","null","null","132","null","63","null","128","73","null","null","168","75","null","null","161","69","null","null","125","70","null","null",
"1400000US04013816600","Census Tract 8166, Maricopa County, Arizona","1055","null","137","null","52","52","null","null","9","16","null","null","0","17","null","null","29","null","46","null","0","17","null","null","24","null","37","null","13","19","null","null","0","17","null","null","45","43","null","null","11","16","null","null","64","45","null","null","255","null","80","null","167","64","null","null","73","53","null","null","192","60","null","null","121","59","null","null",
