"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007M","B19001H_007MA","B19001H_007EA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009EA","B19001H_009M","B19001H_009MA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013M","B19001H_013MA","B19001H_013EA","B19001H_014E","B19001H_014M","B19001H_014MA","B19001H_014EA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04019004125","Census Tract 41.25, Pima County, Arizona","2004","241","null","null","94","117","null","null","45","47","null","null","193","null","119","null","158","null","103","null","146","127","null","null","102","102","null","null","30","35","null","null","145","null","84","null","103","null","66","null","160","80","null","null","62","53","null","null","320","136","null","null","272","134","null","null","117","null","78","null","12","null","19","null","45","43","null","null",
"1400000US04019004307","Census Tract 43.07, Pima County, Arizona","1804","147","null","null","71","56","null","null","77","47","null","null","117","null","66","null","204","null","76","null","142","89","null","null","239","86","null","null","159","64","null","null","67","null","37","null","162","null","86","null","120","50","null","null","149","57","null","null","151","70","null","null","75","49","null","null","11","null","16","null","51","null","37","null","9","13","null","null",
"1400000US04019004310","Census Tract 43.10, Pima County, Arizona","258","55","null","null","17","16","null","null","40","34","null","null","38","null","30","null","29","null","21","null","6","10","null","null","24","17","null","null","5","7","null","null","28","null","27","null","6","null","10","null","0","12","null","null","16","15","null","null","23","20","null","null","5","8","null","null","11","null","12","null","5","null","7","null","5","9","null","null",
"1400000US04019004311","Census Tract 43.11, Pima County, Arizona","509","92","null","null","73","58","null","null","11","16","null","null","39","null","32","null","0","null","12","null","80","40","null","null","37","29","null","null","20","22","null","null","18","null","20","null","29","null","28","null","21","23","null","null","11","16","null","null","45","33","null","null","104","59","null","null","21","null","24","null","0","null","12","null","0","12","null","null",
"1400000US04019004312","Census Tract 43.12, Pima County, Arizona","606","102","null","null","119","60","null","null","53","32","null","null","39","null","34","null","105","null","58","null","21","19","null","null","43","31","null","null","21","21","null","null","56","null","36","null","24","null","24","null","24","23","null","null","52","36","null","null","7","12","null","null","25","21","null","null","7","null","11","null","0","null","17","null","10","15","null","null",
"1400000US04019004313","Census Tract 43.13, Pima County, Arizona","1162","140","null","null","57","47","null","null","70","56","null","null","149","null","77","null","39","null","37","null","72","56","null","null","90","58","null","null","34","27","null","null","62","null","55","null","103","null","82","null","116","63","null","null","67","50","null","null","199","95","null","null","38","33","null","null","8","null","13","null","44","null","42","null","14","22","null","null",
"1400000US04019004316","Census Tract 43.16, Pima County, Arizona","896","132","null","null","35","36","null","null","56","45","null","null","88","null","50","null","106","null","69","null","24","25","null","null","93","54","null","null","50","45","null","null","34","null","38","null","39","null","36","null","147","74","null","null","33","32","null","null","92","53","null","null","62","47","null","null","8","null","12","null","13","null","21","null","16","26","null","null",
"1400000US04019004317","Census Tract 43.17, Pima County, Arizona","1664","132","null","null","96","46","null","null","193","60","null","null","160","null","81","null","163","null","59","null","119","53","null","null","97","51","null","null","144","69","null","null","110","null","59","null","103","null","49","null","141","70","null","null","106","50","null","null","83","41","null","null","85","49","null","null","35","null","27","null","10","null","16","null","19","20","null","null",
"1400000US04019004320","Census Tract 43.20, Pima County, Arizona","287","79","null","null","23","18","null","null","35","51","null","null","5","null","8","null","6","null","8","null","16","14","null","null","18","22","null","null","19","18","null","null","46","null","46","null","14","null","15","null","23","22","null","null","37","22","null","null","26","19","null","null","6","11","null","null","0","null","12","null","5","null","7","null","8","12","null","null",
"1400000US04019004321","Census Tract 43.21, Pima County, Arizona","326","78","null","null","14","19","null","null","0","12","null","null","0","null","12","null","45","null","38","null","8","12","null","null","20","18","null","null","8","13","null","null","38","null","34","null","35","null","31","null","55","35","null","null","45","28","null","null","15","17","null","null","30","40","null","null","4","null","7","null","0","null","12","null","9","14","null","null",
"1400000US04019004322","Census Tract 43.22, Pima County, Arizona","566","125","null","null","10","18","null","null","54","38","null","null","26","null","24","null","4","null","7","null","5","9","null","null","17","30","null","null","18","20","null","null","14","null","16","null","79","null","73","null","102","68","null","null","37","25","null","null","60","39","null","null","73","70","null","null","34","null","29","null","0","null","17","null","33","37","null","null",
