"GEO_ID","NAME","B19001H_001E","B19001H_001EA","B19001H_001M","B19001H_001MA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003EA","B19001H_003M","B19001H_003MA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006EA","B19001H_006M","B19001H_006MA","B19001H_007E","B19001H_007M","B19001H_007MA","B19001H_007EA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012EA","B19001H_012M","B19001H_012MA","B19001H_013E","B19001H_013M","B19001H_013MA","B19001H_013EA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016M","B19001H_016MA","B19001H_016EA","B19001H_017E","B19001H_017EA","B19001H_017M","B19001H_017MA",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","63","null","60","null","23","27","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","13","21","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","27","40","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","5","null","5","null","0","13","null","null","0","null","13","null","5","null","5","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","43","null","24","null","5","8","null","null","10","null","14","null","12","null","11","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","12","15","null","null","0","null","13","null","0","13","null","null","4","null","7","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","1461","null","181","null","145","52","null","null","62","null","34","null","143","null","78","null","81","null","56","null","68","null","65","null","117","60","null","null","37","33","null","null","137","66","null","null","28","null","29","null","141","71","null","null","197","null","119","null","160","81","null","null","117","null","78","null","0","null","18","null","23","25","null","null","5","null","9","null",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","876","null","184","null","81","67","null","null","91","null","67","null","148","null","99","null","25","null","35","null","96","null","73","null","14","19","null","null","53","51","null","null","60","55","null","null","0","null","13","null","55","58","null","null","9","null","10","null","105","66","null","null","67","null","71","null","44","null","63","null","28","28","null","null","0","null","13","null",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","1162","null","154","null","14","19","null","null","68","null","40","null","94","null","76","null","39","null","46","null","100","null","58","null","89","65","null","null","100","75","null","null","12","13","null","null","48","null","35","null","177","92","null","null","105","null","61","null","154","70","null","null","58","null","56","null","46","null","58","null","58","56","null","null","0","null","18","null",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","1243","null","140","null","63","43","null","null","68","null","46","null","45","null","30","null","90","null","50","null","101","null","75","null","34","22","null","null","60","32","null","null","97","60","null","null","82","null","66","null","138","63","null","null","111","null","70","null","157","65","null","null","90","null","44","null","49","null","48","null","32","26","null","null","26","null","25","null",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","585","null","81","null","83","52","null","null","67","null","32","null","38","null","25","null","48","null","22","null","35","null","16","null","31","19","null","null","38","27","null","null","45","26","null","null","49","null","21","null","33","17","null","null","50","null","26","null","35","23","null","null","17","null","12","null","11","null","11","null","3","4","null","null","2","null","3","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","641","null","115","null","39","42","null","null","36","null","43","null","75","null","87","null","59","null","58","null","21","null","24","null","46","45","null","null","34","34","null","null","11","19","null","null","18","null","20","null","65","52","null","null","75","null","57","null","83","60","null","null","56","null","46","null","0","null","13","null","23","28","null","null","0","null","13","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","787","null","133","null","132","74","null","null","29","null","39","null","47","null","49","null","20","null","24","null","96","null","81","null","74","66","null","null","27","36","null","null","21","23","null","null","94","null","89","null","83","45","null","null","50","null","43","null","58","49","null","null","8","null","12","null","13","null","19","null","0","13","null","null","35","null","52","null",
