"GEO_ID","NAME","B19001H_001E","B19001H_001EA","B19001H_001M","B19001H_001MA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003EA","B19001H_003M","B19001H_003MA","B19001H_004E","B19001H_004M","B19001H_004MA","B19001H_004EA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006EA","B19001H_006M","B19001H_006MA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008EA","B19001H_008M","B19001H_008MA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011EA","B19001H_011M","B19001H_011MA","B19001H_012E","B19001H_012EA","B19001H_012M","B19001H_012MA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015M","B19001H_015MA","B19001H_015EA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017EA","B19001H_017M","B19001H_017MA",
"1400000US04013217501","Census Tract 2175.01, Maricopa County, Arizona","937","null","131","null","66","52","null","null","39","null","34","null","71","40","null","null","23","null","21","null","75","null","57","null","79","null","48","null","61","null","42","null","59","31","null","null","25","null","22","null","112","null","63","null","34","null","29","null","69","null","43","null","52","null","34","null","37","29","null","null","99","null","54","null","36","null","36","null",
"1400000US04013217502","Census Tract 2175.02, Maricopa County, Arizona","1310","null","149","null","95","71","null","null","66","null","53","null","22","22","null","null","46","null","35","null","30","null","25","null","114","null","82","null","58","null","52","null","72","59","null","null","98","null","66","null","104","null","62","null","136","null","73","null","211","null","80","null","70","null","49","null","86","55","null","null","29","null","27","null","73","null","59","null",
"1400000US04013217600","Census Tract 2176, Maricopa County, Arizona","1904","null","189","null","85","62","null","null","32","null","47","null","154","84","null","null","208","null","114","null","74","null","64","null","147","null","99","null","157","null","106","null","132","95","null","null","200","null","110","null","41","null","52","null","137","null","99","null","240","null","116","null","87","null","64","null","121","95","null","null","65","null","55","null","24","null","27","null",
"1400000US04013217700","Census Tract 2177, Maricopa County, Arizona","1906","null","172","null","51","49","null","null","65","null","45","null","15","23","null","null","56","null","69","null","67","null","57","null","136","null","73","null","94","null","60","null","127","77","null","null","37","null","36","null","169","null","90","null","135","null","76","null","243","null","99","null","206","null","99","null","265","126","null","null","159","null","77","null","81","null","59","null",
"1400000US04013217800","Census Tract 2178, Maricopa County, Arizona","2318","null","214","null","111","91","null","null","124","null","87","null","48","51","null","null","146","null","76","null","126","null","70","null","38","null","61","null","38","null","37","null","242","141","null","null","154","null","107","null","232","null","99","null","142","null","79","null","302","null","135","null","288","null","131","null","136","106","null","null","122","null","82","null","69","null","66","null",
"1400000US04013217900","Census Tract 2179, Maricopa County, Arizona","1552","null","128","null","32","36","null","null","62","null","59","null","112","58","null","null","108","null","54","null","78","null","44","null","36","null","28","null","54","null","39","null","27","25","null","null","100","null","62","null","127","null","63","null","228","null","94","null","227","null","85","null","143","null","66","null","76","42","null","null","111","null","60","null","31","null","27","null",
"1400000US04013218000","Census Tract 2180, Maricopa County, Arizona","1814","null","201","null","130","86","null","null","128","null","89","null","103","87","null","null","53","null","41","null","44","null","45","null","13","null","20","null","99","null","97","null","148","93","null","null","61","null","43","null","108","null","89","null","70","null","64","null","266","null","113","null","190","null","93","null","120","84","null","null","151","null","87","null","130","null","91","null",
"1400000US04013218100","Census Tract 2181, Maricopa County, Arizona","620","null","88","null","28","21","null","null","57","null","37","null","14","11","null","null","17","null","18","null","39","null","43","null","4","null","7","null","52","null","37","null","17","17","null","null","17","null","16","null","61","null","40","null","62","null","50","null","86","null","36","null","86","null","41","null","30","20","null","null","28","null","21","null","22","null","18","null",
"1400000US04013218200","Census Tract 2182, Maricopa County, Arizona","1315","null","277","null","69","53","null","null","70","null","55","null","32","35","null","null","80","null","85","null","51","null","48","null","102","null","98","null","32","null","36","null","125","105","null","null","34","null","38","null","50","null","47","null","181","null","87","null","67","null","62","null","329","null","184","null","59","75","null","null","18","null","28","null","16","null","24","null",
"1400000US04013218300","Census Tract 2183, Maricopa County, Arizona","1895","null","281","null","257","127","null","null","154","null","117","null","210","102","null","null","144","null","88","null","128","null","64","null","158","null","92","null","44","null","70","null","52","47","null","null","28","null","35","null","144","null","89","null","160","null","103","null","204","null","88","null","158","null","93","null","23","31","null","null","15","null","23","null","16","null","24","null",
