"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003EA","B19001H_003M","B19001H_003MA","B19001H_004E","B19001H_004M","B19001H_004MA","B19001H_004EA","B19001H_005E","B19001H_005M","B19001H_005MA","B19001H_005EA","B19001H_006E","B19001H_006EA","B19001H_006M","B19001H_006MA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012EA","B19001H_012M","B19001H_012MA","B19001H_013E","B19001H_013M","B19001H_013MA","B19001H_013EA","B19001H_014E","B19001H_014M","B19001H_014MA","B19001H_014EA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016M","B19001H_016MA","B19001H_016EA","B19001H_017E","B19001H_017EA","B19001H_017M","B19001H_017MA",
"1400000US04013615500","Census Tract 6155, Maricopa County, Arizona","1653","137","null","null","25","26","null","null","75","null","47","null","56","40","null","null","122","60","null","null","110","null","69","null","159","null","52","null","67","44","null","null","154","61","null","null","100","null","53","null","116","51","null","null","212","null","66","null","217","70","null","null","117","57","null","null","49","null","34","null","30","15","null","null","44","null","34","null",
"1400000US04013615600","Census Tract 6156, Maricopa County, Arizona","1789","136","null","null","44","45","null","null","37","null","42","null","12","20","null","null","93","72","null","null","64","null","49","null","52","null","43","null","82","56","null","null","24","27","null","null","128","null","74","null","266","103","null","null","301","null","108","null","396","115","null","null","147","89","null","null","48","null","48","null","41","43","null","null","54","null","35","null",
"1400000US04013615700","Census Tract 6157, Maricopa County, Arizona","947","99","null","null","0","132","null","null","35","null","39","null","0","132","null","null","8","12","null","null","69","null","60","null","44","null","37","null","0","132","null","null","14","20","null","null","57","null","43","null","36","34","null","null","123","null","79","null","117","59","null","null","171","82","null","null","67","null","45","null","116","60","null","null","90","null","43","null",
"1400000US04013615800","Census Tract 6158, Maricopa County, Arizona","1560","141","null","null","31","29","null","null","51","null","35","null","20","22","null","null","19","21","null","null","66","null","55","null","49","null","36","null","32","29","null","null","71","58","null","null","39","null","31","null","165","83","null","null","116","null","54","null","192","66","null","null","262","79","null","null","162","null","87","null","198","73","null","null","87","null","56","null",
"1400000US04013615900","Census Tract 6159, Maricopa County, Arizona","1427","139","null","null","162","86","null","null","16","null","19","null","11","17","null","null","19","23","null","null","22","null","25","null","39","null","30","null","79","48","null","null","58","50","null","null","57","null","39","null","158","87","null","null","101","null","65","null","157","71","null","null","268","90","null","null","77","null","67","null","101","77","null","null","102","null","53","null",
"1400000US04013616000","Census Tract 6160, Maricopa County, Arizona","503","81","null","null","26","26","null","null","29","null","29","null","10","15","null","null","25","28","null","null","11","null","16","null","18","null","21","null","39","47","null","null","0","132","null","null","18","null","21","null","10","15","null","null","48","null","37","null","71","45","null","null","77","40","null","null","22","null","19","null","73","55","null","null","26","null","25","null",
"1400000US04013616100","Census Tract 6161, Maricopa County, Arizona","1241","96","null","null","41","47","null","null","63","null","99","null","35","43","null","null","11","16","null","null","35","null","41","null","34","null","42","null","75","66","null","null","65","53","null","null","162","null","89","null","49","45","null","null","170","null","124","null","332","139","null","null","71","59","null","null","47","null","55","null","51","57","null","null","0","null","132","null",
"1400000US04013616200","Census Tract 6162, Maricopa County, Arizona","1050","124","null","null","21","25","null","null","29","null","27","null","18","27","null","null","0","132","null","null","49","null","46","null","89","null","73","null","32","35","null","null","26","27","null","null","58","null","36","null","236","117","null","null","100","null","57","null","233","102","null","null","79","47","null","null","35","null","34","null","32","26","null","null","13","null","21","null",
"1400000US04013616300","Census Tract 6163, Maricopa County, Arizona","493","87","null","null","15","19","null","null","0","null","132","null","17","24","null","null","52","46","null","null","66","null","46","null","24","null","21","null","10","17","null","null","11","18","null","null","18","null","23","null","36","32","null","null","40","null","26","null","38","31","null","null","26","24","null","null","23","null","24","null","87","43","null","null","30","null","30","null",
"1400000US04013616400","Census Tract 6164, Maricopa County, Arizona","1793","226","null","null","68","79","null","null","160","null","83","null","118","74","null","null","136","93","null","null","82","null","55","null","82","null","73","null","47","47","null","null","116","92","null","null","83","null","57","null","265","127","null","null","287","null","124","null","144","61","null","null","58","54","null","null","63","null","49","null","68","48","null","null","16","null","24","null",
"1400000US04013616500","Census Tract 6165, Maricopa County, Arizona","1022","119","null","null","35","37","null","null","12","null","18","null","28","28","null","null","112","74","null","null","84","null","65","null","122","null","63","null","24","27","null","null","87","44","null","null","36","null","29","null","56","39","null","null","158","null","69","null","137","75","null","null","85","44","null","null","46","null","35","null","0","132","null","null","0","null","132","null",
