"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002EA","B19001H_002M","B19001H_002MA","B19001H_003E","B19001H_003EA","B19001H_003M","B19001H_003MA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007M","B19001H_007MA","B19001H_007EA","B19001H_008E","B19001H_008EA","B19001H_008M","B19001H_008MA","B19001H_009E","B19001H_009EA","B19001H_009M","B19001H_009MA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04019004038","Census Tract 40.38, Pima County, Arizona","654","83","null","null","10","null","16","null","26","null","24","null","60","null","52","null","16","null","20","null","33","33","null","null","28","27","null","null","27","null","25","null","19","null","21","null","45","null","30","null","119","66","null","null","113","67","null","null","50","null","38","null","50","null","52","null","13","null","18","null","45","null","34","null","0","13","null","null",
"1400000US04019004039","Census Tract 40.39, Pima County, Arizona","1246","146","null","null","21","null","23","null","158","null","82","null","137","null","75","null","156","null","70","null","155","90","null","null","100","59","null","null","73","null","45","null","94","null","43","null","61","null","50","null","64","36","null","null","76","56","null","null","97","null","53","null","50","null","35","null","4","null","10","null","0","null","13","null","0","13","null","null",
"1400000US04019004042","Census Tract 40.42, Pima County, Arizona","1650","151","null","null","86","null","63","null","14","null","23","null","44","null","40","null","78","null","55","null","110","67","null","null","131","97","null","null","87","null","51","null","70","null","60","null","30","null","36","null","164","80","null","null","171","100","null","null","312","null","119","null","94","null","50","null","152","null","95","null","75","null","49","null","32","36","null","null",
"1400000US04019004043","Census Tract 40.43, Pima County, Arizona","1165","115","null","null","26","null","24","null","31","null","25","null","28","null","29","null","47","null","36","null","59","65","null","null","80","44","null","null","41","null","41","null","45","null","32","null","61","null","40","null","103","64","null","null","97","48","null","null","203","null","82","null","76","null","42","null","116","null","50","null","99","null","50","null","53","40","null","null",
"1400000US04019004044","Census Tract 40.44, Pima County, Arizona","1437","90","null","null","35","null","32","null","24","null","22","null","28","null","25","null","41","null","27","null","41","32","null","null","69","39","null","null","61","null","40","null","38","null","32","null","95","null","59","null","136","76","null","null","136","67","null","null","111","null","58","null","167","null","62","null","181","null","66","null","198","null","91","null","76","50","null","null",
"1400000US04019004046","Census Tract 40.46, Pima County, Arizona","1879","159","null","null","293","null","155","null","192","null","103","null","133","null","89","null","71","null","50","null","42","31","null","null","126","95","null","null","29","null","32","null","85","null","56","null","101","null","71","null","142","95","null","null","227","109","null","null","252","null","127","null","16","null","26","null","76","null","59","null","73","null","66","null","21","27","null","null",
"1400000US04019004047","Census Tract 40.47, Pima County, Arizona","1057","95","null","null","59","null","50","null","18","null","14","null","48","null","38","null","30","null","27","null","24","26","null","null","11","16","null","null","56","null","39","null","108","null","73","null","19","null","21","null","113","58","null","null","69","41","null","null","186","null","65","null","130","null","55","null","97","null","56","null","40","null","33","null","49","29","null","null",
"1400000US04019004048","Census Tract 40.48, Pima County, Arizona","1596","126","null","null","48","null","49","null","21","null","24","null","61","null","50","null","128","null","76","null","90","47","null","null","67","46","null","null","123","null","63","null","23","null","29","null","81","null","51","null","127","61","null","null","226","98","null","null","295","null","121","null","173","null","67","null","58","null","39","null","31","null","28","null","44","61","null","null",
"1400000US04019004049","Census Tract 40.49, Pima County, Arizona","980","109","null","null","50","null","55","null","50","null","37","null","54","null","57","null","28","null","24","null","122","56","null","null","68","62","null","null","73","null","44","null","66","null","48","null","20","null","23","null","120","60","null","null","77","46","null","null","80","null","51","null","36","null","33","null","76","null","48","null","32","null","25","null","28","23","null","null",
"1400000US04019004050","Census Tract 40.50, Pima County, Arizona","623","60","null","null","6","null","9","null","0","null","13","null","0","null","13","null","41","null","41","null","37","23","null","null","25","22","null","null","4","null","9","null","8","null","12","null","13","null","14","null","4","7","null","null","65","40","null","null","132","null","53","null","109","null","40","null","35","null","22","null","60","null","33","null","84","41","null","null",
