"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002EA","B19001H_002M","B19001H_002MA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004M","B19001H_004MA","B19001H_004EA","B19001H_005E","B19001H_005M","B19001H_005MA","B19001H_005EA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007M","B19001H_007MA","B19001H_007EA","B19001H_008E","B19001H_008EA","B19001H_008M","B19001H_008MA","B19001H_009E","B19001H_009EA","B19001H_009M","B19001H_009MA","B19001H_010E","B19001H_010M","B19001H_010MA","B19001H_010EA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012EA","B19001H_012M","B19001H_012MA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016M","B19001H_016MA","B19001H_016EA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04013522904","Census Tract 5229.04, Maricopa County, Arizona","396","111","null","null","28","null","25","null","0","18","null","null","0","18","null","null","9","15","null","null","18","29","null","null","49","48","null","null","45","null","29","null","27","null","31","null","0","18","null","null","41","31","null","null","74","null","45","null","19","null","23","null","19","null","22","null","43","null","55","null","24","36","null","null","0","18","null","null",
"1400000US04013523002","Census Tract 5230.02, Maricopa County, Arizona","749","121","null","null","68","null","44","null","9","14","null","null","52","41","null","null","46","45","null","null","28","26","null","null","37","33","null","null","32","null","29","null","11","null","18","null","32","31","null","null","85","62","null","null","49","null","36","null","194","null","84","null","44","null","38","null","24","null","27","null","29","27","null","null","9","14","null","null",
"1400000US04013523003","Census Tract 5230.03, Maricopa County, Arizona","1526","197","null","null","87","null","76","null","55","66","null","null","16","25","null","null","40","44","null","null","51","49","null","null","26","32","null","null","182","null","152","null","48","null","43","null","110","73","null","null","113","73","null","null","267","null","130","null","334","null","119","null","44","null","36","null","74","null","97","null","45","57","null","null","34","58","null","null",
"1400000US04013523005","Census Tract 5230.05, Maricopa County, Arizona","1544","106","null","null","63","null","51","null","32","28","null","null","34","26","null","null","54","43","null","null","120","74","null","null","72","52","null","null","71","null","55","null","80","null","56","null","110","62","null","null","114","62","null","null","176","null","77","null","213","null","62","null","178","null","91","null","160","null","78","null","58","41","null","null","9","13","null","null",
"1400000US04013523006","Census Tract 5230.06, Maricopa County, Arizona","1547","149","null","null","86","null","71","null","78","59","null","null","110","86","null","null","28","31","null","null","45","43","null","null","104","70","null","null","107","null","76","null","111","null","93","null","131","94","null","null","93","82","null","null","139","null","81","null","200","null","106","null","105","null","73","null","58","null","47","null","96","70","null","null","56","51","null","null",
"1400000US04013523102","Census Tract 5231.02, Maricopa County, Arizona","729","107","null","null","21","null","21","null","10","15","null","null","30","24","null","null","51","50","null","null","0","18","null","null","0","18","null","null","40","null","46","null","21","null","25","null","25","27","null","null","46","36","null","null","130","null","48","null","204","null","75","null","80","null","57","null","29","null","27","null","37","31","null","null","5","8","null","null",
"1400000US04013523103","Census Tract 5231.03, Maricopa County, Arizona","1410","202","null","null","34","null","39","null","27","29","null","null","33","35","null","null","106","77","null","null","38","36","null","null","120","95","null","null","78","null","77","null","48","null","39","null","52","42","null","null","160","85","null","null","167","null","105","null","107","null","51","null","179","null","90","null","142","null","131","null","119","80","null","null","0","18","null","null",
"1400000US04013523104","Census Tract 5231.04, Maricopa County, Arizona","908","191","null","null","15","null","24","null","10","16","null","null","32","37","null","null","54","67","null","null","37","34","null","null","19","31","null","null","58","null","69","null","17","null","27","null","72","78","null","null","108","85","null","null","87","null","58","null","238","null","115","null","53","null","40","null","43","null","39","null","36","41","null","null","29","29","null","null",
"1400000US04013610000","Census Tract 6100, Maricopa County, Arizona","1887","164","null","null","51","null","43","null","9","14","null","null","39","38","null","null","67","51","null","null","0","18","null","null","95","86","null","null","76","null","78","null","33","null","25","null","89","60","null","null","151","137","null","null","359","null","176","null","302","null","136","null","178","null","89","null","156","null","94","null","155","106","null","null","127","95","null","null",
"1400000US04013610100","Census Tract 6101, Maricopa County, Arizona","296","145","null","null","0","null","13","null","7","13","null","null","7","12","null","null","6","12","null","null","6","12","null","null","7","11","null","null","29","null","33","null","20","null","34","null","19","20","null","null","7","13","null","null","109","null","94","null","0","null","13","null","26","null","23","null","0","null","13","null","28","27","null","null","25","27","null","null",
