"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006EA","B19001H_006M","B19001H_006MA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008EA","B19001H_008M","B19001H_008MA","B19001H_009E","B19001H_009EA","B19001H_009M","B19001H_009MA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011EA","B19001H_011M","B19001H_011MA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013M","B19001H_013MA","B19001H_013EA","B19001H_014E","B19001H_014M","B19001H_014MA","B19001H_014EA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017EA","B19001H_017M","B19001H_017MA",
"1400000US04019004334","Census Tract 43.34, Pima County, Arizona","983","164","null","null","18","27","null","null","0","19","null","null","41","null","47","null","0","null","19","null","0","null","19","null","39","null","45","null","18","null","30","null","0","null","19","null","18","null","28","null","99","null","66","null","231","149","null","null","307","140","null","null","143","92","null","null","33","null","44","null","36","null","46","null","0","null","19","null",
"1400000US04019004404","Census Tract 44.04, Pima County, Arizona","1504","152","null","null","64","50","null","null","80","50","null","null","110","null","54","null","136","null","45","null","137","null","80","null","131","null","68","null","109","null","49","null","71","null","65","null","63","null","28","null","143","null","55","null","149","61","null","null","119","46","null","null","73","37","null","null","50","null","46","null","46","null","26","null","23","null","20","null",
"1400000US04019004407","Census Tract 44.07, Pima County, Arizona","469","128","null","null","0","17","null","null","129","95","null","null","0","null","17","null","9","null","14","null","34","null","39","null","24","null","28","null","64","null","80","null","49","null","61","null","19","null","35","null","57","null","67","null","6","12","null","null","49","50","null","null","29","39","null","null","0","null","17","null","0","null","17","null","0","null","17","null",
"1400000US04019004411","Census Tract 44.11, Pima County, Arizona","1439","219","null","null","92","69","null","null","17","27","null","null","16","null","26","null","39","null","44","null","18","null","30","null","36","null","40","null","0","null","17","null","89","null","67","null","18","null","29","null","49","null","48","null","242","122","null","null","180","88","null","null","189","92","null","null","71","null","59","null","233","null","93","null","150","null","110","null",
"1400000US04019004412","Census Tract 44.12, Pima County, Arizona","812","128","null","null","56","43","null","null","8","13","null","null","3","null","10","null","54","null","55","null","0","null","12","null","38","null","46","null","9","null","15","null","43","null","30","null","41","null","58","null","103","null","64","null","102","61","null","null","140","67","null","null","49","33","null","null","94","null","47","null","42","null","29","null","30","null","27","null",
"1400000US04019004413","Census Tract 44.13, Pima County, Arizona","714","106","null","null","6","10","null","null","26","27","null","null","28","null","41","null","26","null","25","null","14","null","16","null","12","null","19","null","0","null","12","null","35","null","39","null","28","null","23","null","28","null","24","null","78","62","null","null","261","74","null","null","89","48","null","null","37","null","29","null","15","null","21","null","31","null","22","null",
"1400000US04019004414","Census Tract 44.14, Pima County, Arizona","568","97","null","null","63","62","null","null","17","19","null","null","57","null","64","null","22","null","22","null","28","null","43","null","16","null","14","null","32","null","38","null","21","null","23","null","27","null","35","null","39","null","34","null","31","22","null","null","73","41","null","null","72","38","null","null","29","null","23","null","16","null","20","null","25","null","22","null",
"1400000US04019004415","Census Tract 44.15, Pima County, Arizona","328","43","null","null","23","30","null","null","9","12","null","null","16","null","11","null","13","null","11","null","8","null","9","null","6","null","10","null","10","null","11","null","23","null","24","null","5","null","7","null","17","null","15","null","46","29","null","null","81","31","null","null","32","25","null","null","27","null","20","null","12","null","11","null","0","null","12","null",
"1400000US04019004418","Census Tract 44.18, Pima County, Arizona","1018","97","null","null","44","33","null","null","0","12","null","null","19","null","20","null","55","null","50","null","19","null","20","null","23","null","23","null","26","null","24","null","27","null","28","null","13","null","21","null","65","null","39","null","74","53","null","null","185","67","null","null","129","61","null","null","97","null","49","null","154","null","66","null","88","null","40","null",
"1400000US04019004419","Census Tract 44.19, Pima County, Arizona","1615","211","null","null","120","92","null","null","93","67","null","null","94","null","70","null","79","null","56","null","146","null","102","null","85","null","69","null","30","null","34","null","100","null","93","null","52","null","55","null","89","null","62","null","229","143","null","null","268","134","null","null","143","84","null","null","54","null","50","null","14","null","23","null","19","null","35","null",
