"GEO_ID","NAME","B25001_001M","B25001_001MA","B25001_001E","B25001_001EA",
"Geography","Geographic Area Name","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total","Annotation of Estimate!!Total",
"1400000US04013030401","Census Tract 304.01, Maricopa County, Arizona","222","null","2960","null",
"1400000US04013030402","Census Tract 304.02, Maricopa County, Arizona","272","null","1905","null",
"1400000US04013040502","Census Tract 405.02, Maricopa County, Arizona","250","null","2963","null",
"1400000US04013040506","Census Tract 405.06, Maricopa County, Arizona","64","null","4294","null",
"1400000US04013040507","Census Tract 405.07, Maricopa County, Arizona","116","null","4694","null",
"1400000US04013040512","Census Tract 405.12, Maricopa County, Arizona","26","null","1167","null",
"1400000US04013040513","Census Tract 405.13, Maricopa County, Arizona","43","null","2215","null",
"1400000US04013040514","Census Tract 405.14, Maricopa County, Arizona","41","null","2265","null",
"1400000US04013040515","Census Tract 405.15, Maricopa County, Arizona","117","null","2320","null",
"1400000US04013040516","Census Tract 405.16, Maricopa County, Arizona","100","null","934","null",
"1400000US04013040517","Census Tract 405.17, Maricopa County, Arizona","183","null","2378","null",
"1400000US04013040518","Census Tract 405.18, Maricopa County, Arizona","182","null","2533","null",
"1400000US04013040519","Census Tract 405.19, Maricopa County, Arizona","96","null","1591","null",
"1400000US04013040520","Census Tract 405.20, Maricopa County, Arizona","95","null","1313","null",
"1400000US04013040521","Census Tract 405.21, Maricopa County, Arizona","130","null","1136","null",
"1400000US04013040522","Census Tract 405.22, Maricopa County, Arizona","48","null","2903","null",
"1400000US04013040523","Census Tract 405.23, Maricopa County, Arizona","34","null","2102","null",
"1400000US04013040524","Census Tract 405.24, Maricopa County, Arizona","78","null","869","null",
"1400000US04013040525","Census Tract 405.25, Maricopa County, Arizona","41","null","2005","null",
"1400000US04013040526","Census Tract 405.26, Maricopa County, Arizona","50","null","1480","null",
"1400000US04013040527","Census Tract 405.27, Maricopa County, Arizona","140","null","2382","null",
"1400000US04013040528","Census Tract 405.28, Maricopa County, Arizona","89","null","4167","null",
"1400000US04013040529","Census Tract 405.29, Maricopa County, Arizona","76","null","2156","null",
"1400000US04013040530","Census Tract 405.30, Maricopa County, Arizona","28","null","1455","null",
"1400000US04013040531","Census Tract 405.31, Maricopa County, Arizona","33","null","2086","null",
"1400000US04013050603","Census Tract 506.03, Maricopa County, Arizona","120","null","1306","null",
"1400000US04013050604","Census Tract 506.04, Maricopa County, Arizona","111","null","1171","null",
"1400000US04013050605","Census Tract 506.05, Maricopa County, Arizona","159","null","1641","null",
