"GEO_ID","NAME","B19001C_001E","B19001C_001EA","B19001C_001M","B19001C_001MA","B19001C_002E","B19001C_002M","B19001C_002MA","B19001C_002EA","B19001C_003E","B19001C_003M","B19001C_003MA","B19001C_003EA","B19001C_004E","B19001C_004EA","B19001C_004M","B19001C_004MA","B19001C_005E","B19001C_005EA","B19001C_005M","B19001C_005MA","B19001C_006E","B19001C_006M","B19001C_006MA","B19001C_006EA","B19001C_007E","B19001C_007M","B19001C_007MA","B19001C_007EA","B19001C_008E","B19001C_008M","B19001C_008MA","B19001C_008EA","B19001C_009E","B19001C_009EA","B19001C_009M","B19001C_009MA","B19001C_010E","B19001C_010M","B19001C_010MA","B19001C_010EA","B19001C_011E","B19001C_011M","B19001C_011MA","B19001C_011EA","B19001C_012E","B19001C_012EA","B19001C_012M","B19001C_012MA","B19001C_013E","B19001C_013M","B19001C_013MA","B19001C_013EA","B19001C_014E","B19001C_014M","B19001C_014MA","B19001C_014EA","B19001C_015E","B19001C_015EA","B19001C_015M","B19001C_015MA","B19001C_016E","B19001C_016EA","B19001C_016M","B19001C_016MA","B19001C_017E","B19001C_017M","B19001C_017MA","B19001C_017EA",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","6","null","9","null","0","12","null","null","0","12","null","null","0","null","12","null","3","null","6","null","0","12","null","null","0","12","null","null","3","6","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","16","null","26","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","16","26","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","35","null","38","null","12","25","null","null","2","6","null","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","17","null","null","0","17","null","null","21","null","27","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","17","null","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","43","null","34","null","0","12","null","null","10","15","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","7","null","11","null","5","9","null","null","18","27","null","null","0","null","12","null","3","6","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","41","null","35","null","10","16","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","31","32","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","28","null","33","null","0","12","null","null","0","12","null","null","7","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","21","32","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","17","null","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","7","null","13","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","7","13","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","56","null","55","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","56","55","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","35","null","29","null","0","17","null","null","0","17","null","null","0","null","17","null","18","null","25","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","0","17","null","null","17","28","null","null","0","null","17","null","0","null","17","null","0","17","null","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","17","null","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","17","null","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","41","null","38","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","17","null","null","17","null","26","null","0","17","null","null","0","17","null","null","0","null","17","null","11","19","null","null","0","17","null","null","13","null","20","null","0","null","17","null","0","17","null","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","36","null","53","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","36","53","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","76","null","45","null","10","15","null","null","10","16","null","null","0","null","12","null","28","null","43","null","0","12","null","null","0","12","null","null","0","12","null","null","8","null","13","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","11","null","15","null","9","null","14","null","0","12","null","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","123","null","72","null","23","27","null","null","0","12","null","null","29","null","30","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","10","19","null","null","33","null","40","null","0","12","null","null","28","47","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","259","null","98","null","12","22","null","null","70","75","null","null","20","null","31","null","27","null","44","null","24","36","null","null","12","20","null","null","0","17","null","null","0","null","17","null","0","17","null","null","36","45","null","null","26","null","39","null","0","17","null","null","0","17","null","null","14","null","22","null","18","null","29","null","0","17","null","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","199","null","82","null","0","17","null","null","0","17","null","null","0","null","17","null","58","null","47","null","0","17","null","null","50","40","null","null","11","16","null","null","33","null","38","null","6","10","null","null","0","17","null","null","27","null","22","null","14","22","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","17","null","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","127","null","68","null","0","12","null","null","0","12","null","null","41","null","58","null","19","null","29","null","0","12","null","null","26","42","null","null","0","12","null","null","0","null","12","null","14","19","null","null","0","12","null","null","0","null","12","null","22","34","null","null","0","12","null","null","5","null","11","null","0","null","12","null","0","12","null","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","74","null","85","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","21","37","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","0","17","null","null","53","73","null","null","0","null","17","null","0","null","17","null","0","17","null","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","86","null","43","null","0","12","null","null","11","17","null","null","0","null","12","null","0","null","12","null","10","22","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null","17","null","18","null","28","24","null","null","0","12","null","null","0","null","12","null","11","null","17","null","9","15","null","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","177","null","79","null","112","67","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","17","null","null","13","21","null","null","0","17","null","null","0","null","17","null","39","62","null","null","0","17","null","null","13","null","21","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","17","null","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","276","null","176","null","0","17","null","null","0","17","null","null","0","null","17","null","52","null","79","null","23","38","null","null","22","35","null","null","0","17","null","null","18","null","28","null","0","17","null","null","60","88","null","null","18","null","30","null","67","101","null","null","0","17","null","null","16","null","26","null","0","null","17","null","0","17","null","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","55","null","36","null","5","9","null","null","0","19","null","null","21","null","30","null","0","null","19","null","15","18","null","null","0","19","null","null","0","19","null","null","7","null","10","null","0","19","null","null","7","7","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","35","null","30","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","11","17","null","null","0","null","12","null","0","12","null","null","8","13","null","null","0","null","12","null","16","20","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
